### OUTPUT ###
ID#1 : time : 473, Operation : delete, fitness : -1.0
ID#2 : time : 196, Operation : delete, fitness : -1.0
ID#3 : time : 193, Operation : replace, fitness : -1.0
ID#4 : time : 34, Operation : delete, fitness : -1.0
ID#5 : time : 6, Operation : insert_after, fitness : -1.0
ID#6 : time : 2, Operation : insert_before, fitness : -1.0
ID#7 : time : 165, Operation : insert_after, fitness : -1.0
ID#8 : time : 107, Operation : delete, fitness : -1.0
ID#9 : time : 107, Operation : delete, fitness : -1.0
ID#10 : time : 98, Operation : delete, fitness : -1.0
ID#11 : time : 160, Operation : insert_before, fitness : -1.0
ID#12 : time : 677, Operation : delete, fitness : 0.939393939394
ID#13 : time : 102, Operation : insert_after, fitness : -1.0
ID#14 : time : 93, Operation : insert_after, fitness : -1.0
ID#15 : time : 0, Operation : insert_after, fitness : -1.0
ID#16 : time : 558, Operation : delete, fitness : 0.984848484848
ID#17 : time : 87, Operation : replace, fitness : -1.0
ID#18 : time : 14, Operation : delete, fitness : -1.0
ID#19 : time : 76, Operation : replace, fitness : -1.0
ID#20 : time : 68, Operation : replace, fitness : -1.0
ID#21 : time : 84, Operation : replace, fitness : -1.0
ID#22 : time : 452, Operation : delete, fitness : 0.969696969697
ID#23 : time : 77, Operation : replace, fitness : -1.0
ID#24 : time : 0, Operation : insert_after, fitness : -1.0
ID#25 : time : 379, Operation : delete, fitness : 0.969696969697
ID#26 : time : 78, Operation : insert_after, fitness : -1.0
ID#27 : time : 0, Operation : insert_after, fitness : -1.0
ID#28 : time : 80, Operation : insert_after, fitness : -1.0
ID#29 : time : 73, Operation : delete, fitness : -1.0
ID#30 : time : 80, Operation : replace, fitness : -1.0
ID#31 : time : 78, Operation : replace, fitness : -1.0
ID#32 : time : 95, Operation : replace, fitness : -1.0
ID#33 : time : 150, Operation : insert_before, fitness : -1.0
ID#34 : time : 5, Operation : insert_after, fitness : -1.0
ID#35 : time : 18, Operation : delete, fitness : -1.0
ID#36 : time : 19, Operation : delete, fitness : -1.0
ID#37 : time : 20, Operation : delete, fitness : -1.0
ID#38 : time : 16, Operation : delete, fitness : -1.0
ID#39 : time : 85, Operation : replace, fitness : -1.0
ID#40 : time : 95, Operation : replace, fitness : -1.0
ID#41 : time : 0, Operation : insert_before, fitness : -1.0
ID#42 : time : 0, Operation : insert_before, fitness : -1.0
ID#43 : time : 0, Operation : insert_before, fitness : -1.0
ID#44 : time : 91, Operation : delete, fitness : -1.0
ID#45 : time : 93, Operation : insert_after, fitness : -1.0
ID#46 : time : 19, Operation : delete, fitness : -1.0
ID#47 : time : 0, Operation : insert_after, fitness : -1.0
ID#48 : time : 1, Operation : insert_after, fitness : -1.0
ID#49 : time : 83, Operation : insert_before, fitness : -1.0
ID#50 : time : 78, Operation : replace, fitness : -1.0
ID#51 : time : 81, Operation : replace, fitness : -1.0
ID#52 : time : 61, Operation : insert_before, fitness : -1.0
ID#53 : time : 77, Operation : replace, fitness : -1.0
ID#54 : time : 112, Operation : replace, fitness : -1.0
ID#55 : time : 63, Operation : insert_before, fitness : -1.0
ID#56 : time : 55, Operation : replace, fitness : -1.0
ID#57 : time : 14, Operation : delete, fitness : -1.0
ID#58 : time : 66, Operation : insert_before, fitness : -1.0
ID#59 : time : 0, Operation : insert_after, fitness : -1.0
ID#60 : time : 76, Operation : insert_before, fitness : -1.0
ID#61 : time : 301, Operation : replace, fitness : 0.984848484848
ID#62 : time : 47, Operation : delete, fitness : -1.0
ID#63 : time : 60, Operation : insert_before, fitness : -1.0
ID#64 : time : 68, Operation : insert_before, fitness : -1.0
ID#65 : time : 21, Operation : delete, fitness : -1.0
ID#66 : time : 19, Operation : delete, fitness : -1.0
ID#67 : time : 61, Operation : replace, fitness : -1.0
ID#68 : time : 0, Operation : insert_before, fitness : -1.0
ID#69 : time : 12, Operation : delete, fitness : -1.0
ID#70 : time : 56, Operation : replace, fitness : -1.0
ID#71 : time : 482, Operation : insert_before, fitness : -1.0
ID#72 : time : 702, Operation : insert_after, fitness : -1.0
ID#73 : time : 520, Operation : delete, fitness : -1.0
ID#74 : time : 610, Operation : replace, fitness : -1.0
ID#75 : time : 599, Operation : replace, fitness : -1.0
ID#76 : time : 517, Operation : delete, fitness : -1.0
ID#77 : time : 515, Operation : replace, fitness : -1.0
ID#78 : time : 623, Operation : insert_before, fitness : -1.0
ID#79 : time : 671, Operation : replace, fitness : 0.969696969697
ID#80 : time : 362, Operation : delete, fitness : -1.0
ID#81 : time : 725, Operation : replace, fitness : 0.969696969697
ID#82 : time : 374, Operation : replace, fitness : -1.0
ID#83 : time : 327, Operation : delete, fitness : -1.0
ID#84 : time : 392, Operation : insert_before, fitness : -1.0
ID#85 : time : 375, Operation : insert_after, fitness : -1.0
ID#86 : time : 386, Operation : replace, fitness : -1.0
ID#87 : time : 461, Operation : delete, fitness : -1.0
ID#88 : time : 487, Operation : replace, fitness : -1.0
ID#89 : time : 331, Operation : delete, fitness : -1.0
ID#90 : time : 468, Operation : insert_after, fitness : -1.0
ID#91 : time : 468, Operation : insert_before, fitness : -1.0
ID#92 : time : 641, Operation : replace, fitness : -1.0
ID#93 : time : 651, Operation : replace, fitness : -1.0
ID#94 : time : 649, Operation : replace, fitness : -1.0
ID#95 : time : 103, Operation : replace, fitness : -1.0
ID#96 : time : 333, Operation : delete, fitness : -1.0
ID#97 : time : 465, Operation : delete, fitness : -1.0
ID#98 : time : 470, Operation : replace, fitness : -1.0
ID#99 : time : 648, Operation : replace, fitness : -1.0
ID#100 : time : 575, Operation : insert_before, fitness : -1.0
ID#101 : time : 14, Operation : delete, fitness : -1.0
ID#102 : time : 650, Operation : insert_after, fitness : -1.0
ID#103 : time : 650, Operation : insert_after, fitness : -1.0
ID#104 : time : 412, Operation : delete, fitness : -1.0
ID#105 : time : 638, Operation : replace, fitness : -1.0
ID#106 : time : 558, Operation : replace, fitness : -1.0
ID#107 : time : 333, Operation : delete, fitness : -1.0
ID#108 : time : 498, Operation : delete, fitness : -1.0
ID#109 : time : 483, Operation : replace, fitness : -1.0
ID#110 : time : 511, Operation : replace, fitness : 0.939393939394
ID#111 : time : 436, Operation : insert_after, fitness : -1.0
ID#112 : time : 546, Operation : insert_before, fitness : -1.0
ID#113 : time : 545, Operation : insert_before, fitness : -1.0
ID#114 : time : 24, Operation : delete, fitness : -1.0
ID#115 : time : 366, Operation : delete, fitness : 0.969696969697
ID#116 : time : 14, Operation : delete, fitness : -1.0
ID#117 : time : 386, Operation : insert_after, fitness : -1.0
ID#118 : time : 511, Operation : delete, fitness : -1.0
ID#119 : time : 49, Operation : insert_after, fitness : -1.0
ID#120 : time : 771, Operation : delete, fitness : 0.969696969697
ID#121 : time : 360, Operation : insert_before, fitness : -1.0
ID#122 : time : 0, Operation : insert_before, fitness : -1.0
ID#123 : time : 47, Operation : insert_before, fitness : -1.0
ID#124 : time : 359, Operation : insert_after, fitness : -1.0
ID#125 : time : 47, Operation : replace, fitness : -1.0
ID#126 : time : 510, Operation : delete, fitness : -1.0
ID#127 : time : 508, Operation : replace, fitness : -1.0
ID#128 : time : 46, Operation : insert_before, fitness : -1.0
ID#129 : time : 439, Operation : replace, fitness : -1.0
ID#130 : time : 472, Operation : delete, fitness : -1.0
ID#131 : time : 824, Operation : delete, fitness : 0.969696969697
ID#132 : time : 52, Operation : replace, fitness : -1.0
ID#133 : time : 368, Operation : insert_before, fitness : -1.0
ID#134 : time : 437, Operation : replace, fitness : -1.0
ID#135 : time : 322, Operation : delete, fitness : -1.0
ID#136 : time : 616, Operation : delete, fitness : -1.0
ID#137 : time : 50, Operation : insert_before, fitness : -1.0
ID#138 : time : 910, Operation : replace, fitness : 0.969696969697
ID#139 : time : 442, Operation : replace, fitness : -1.0
ID#140 : time : 616, Operation : replace, fitness : -1.0
ID#141 : time : 0, Operation : insert_before, fitness : -1.0
ID#142 : time : 62, Operation : insert_after, fitness : -1.0
ID#143 : time : 60, Operation : replace, fitness : -1.0
ID#144 : time : 51, Operation : replace, fitness : -1.0
ID#145 : time : 21, Operation : delete, fitness : -1.0
ID#146 : time : 989, Operation : insert_after, fitness : -1.0
ID#147 : time : 10, Operation : insert_before, fitness : -1.0
ID#148 : time : 57, Operation : insert_before, fitness : -1.0
ID#149 : time : 946, Operation : replace, fitness : -1.0
ID#150 : time : 898, Operation : replace, fitness : -1.0
ID#151 : time : 978, Operation : replace, fitness : -1.0
ID#152 : time : 47, Operation : replace, fitness : -1.0
ID#153 : time : 945, Operation : replace, fitness : -1.0
ID#154 : time : 931, Operation : insert_after, fitness : -1.0
ID#155 : time : 267, Operation : insert_after, fitness : 0.984848484848
ID#156 : time : 51, Operation : insert_before, fitness : -1.0
ID#157 : time : 1010, Operation : replace, fitness : -1.0
ID#158 : time : 95, Operation : delete, fitness : -1.0
ID#159 : time : 402, Operation : delete, fitness : 0.969696969697
ID#160 : time : 43, Operation : delete, fitness : -1.0
ID#161 : time : 946, Operation : insert_after, fitness : -1.0
ID#162 : time : 1027, Operation : insert_after, fitness : -1.0
ID#163 : time : 76, Operation : insert_before, fitness : -1.0
ID#164 : time : 871, Operation : delete, fitness : -1.0
ID#165 : time : 968, Operation : replace, fitness : -1.0
ID#166 : time : 98, Operation : replace, fitness : -1.0
ID#167 : time : 24, Operation : delete, fitness : -1.0
ID#168 : time : 23, Operation : delete, fitness : -1.0
ID#169 : time : 1035, Operation : delete, fitness : -1.0
ID#170 : time : 120, Operation : insert_after, fitness : -1.0
ID#171 : time : 880, Operation : insert_before, fitness : -1.0
ID#172 : time : 161, Operation : insert_before, fitness : -1.0
ID#173 : time : 988, Operation : delete, fitness : -1.0
ID#174 : time : 654, Operation : delete, fitness : 0.984848484848
ID#175 : time : 939, Operation : insert_before, fitness : -1.0
ID#176 : time : 77, Operation : replace, fitness : -1.0
ID#177 : time : 940, Operation : insert_after, fitness : -1.0
ID#178 : time : 95, Operation : replace, fitness : -1.0
ID#179 : time : 35, Operation : insert_before, fitness : -1.0
ID#180 : time : 37, Operation : insert_before, fitness : -1.0
ID#181 : time : 15, Operation : insert_after, fitness : -1.0
ID#182 : time : 93, Operation : replace, fitness : -1.0
ID#183 : time : 928, Operation : insert_after, fitness : -1.0
ID#184 : time : 919, Operation : replace, fitness : -1.0
ID#185 : time : 72, Operation : insert_after, fitness : -1.0
ID#186 : time : 981, Operation : replace, fitness : -1.0
ID#187 : time : 47, Operation : insert_after, fitness : -1.0
ID#188 : time : 978, Operation : insert_after, fitness : -1.0
ID#189 : time : 977, Operation : replace, fitness : -1.0
ID#190 : time : 1223, Operation : delete, fitness : 0.969696969697
ID#191 : time : 45, Operation : insert_before, fitness : -1.0
ID#192 : time : 889, Operation : replace, fitness : -1.0
ID#193 : time : 978, Operation : replace, fitness : -1.0
ID#194 : time : 309, Operation : replace, fitness : 0.969696969697
ID#195 : time : 262, Operation : delete, fitness : 0.984848484848
ID#196 : time : 846, Operation : insert_before, fitness : -1.0
ID#197 : time : 47, Operation : replace, fitness : -1.0
ID#198 : time : 0, Operation : insert_after, fitness : -1.0
ID#199 : time : 980, Operation : insert_before, fitness : -1.0
ID#200 : time : 49, Operation : replace, fitness : -1.0
ID#201 : time : 57, Operation : insert_after, fitness : -1.0
ID#202 : time : 45, Operation : delete, fitness : -1.0
ID#203 : time : 21, Operation : delete, fitness : -1.0
ID#204 : time : 0, Operation : insert_before, fitness : -1.0
ID#205 : time : 845, Operation : insert_after, fitness : -1.0
ID#206 : time : 978, Operation : replace, fitness : -1.0
ID#207 : time : 10, Operation : insert_after, fitness : -1.0
ID#208 : time : 48, Operation : replace, fitness : -1.0
ID#209 : time : 49, Operation : replace, fitness : -1.0
ID#210 : time : 59, Operation : replace, fitness : -1.0
ID#211 : time : 1756, Operation : random-crossover, fitness : -1.0
ID#212 : time : 1756, Operation : random-crossover, fitness : -1.0
ID#213 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#214 : time : 1745, Operation : random-crossover, fitness : -1.0
ID#215 : time : 1757, Operation : random-crossover, fitness : -1.0
ID#216 : time : 1757, Operation : random-crossover, fitness : -1.0
ID#217 : time : 1757, Operation : random-crossover, fitness : -1.0
ID#218 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#219 : time : 1756, Operation : random-crossover, fitness : -1.0
ID#220 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#221 : time : 1754, Operation : random-crossover, fitness : -1.0
ID#222 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#223 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#224 : time : 1745, Operation : random-crossover, fitness : -1.0
ID#225 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#226 : time : 1754, Operation : random-crossover, fitness : -1.0
ID#227 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#228 : time : 1754, Operation : random-crossover, fitness : -1.0
ID#229 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#230 : time : 1744, Operation : random-crossover, fitness : -1.0
ID#231 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#232 : time : 1745, Operation : random-crossover, fitness : -1.0
ID#233 : time : 1746, Operation : random-crossover, fitness : -1.0
ID#234 : time : 1758, Operation : random-crossover, fitness : 0.969696969697
ID#235 : time : 1744, Operation : random-crossover, fitness : -1.0
ID#236 : time : 1754, Operation : random-crossover, fitness : -1.0
ID#237 : time : 1754, Operation : random-crossover, fitness : -1.0
ID#238 : time : 1756, Operation : random-crossover, fitness : -1.0
ID#239 : time : 1744, Operation : random-crossover, fitness : -1.0
ID#240 : time : 1755, Operation : random-crossover, fitness : -1.0
ID#241 : time : 61, Operation : insert_after, fitness : -1.0
ID#242 : time : 20, Operation : replace, fitness : -1.0
ID#243 : time : 57, Operation : replace, fitness : -1.0
ID#244 : time : 270, Operation : delete, fitness : 0.984848484848
ID#245 : time : 352, Operation : delete, fitness : -1.0
ID#246 : time : 584, Operation : replace, fitness : 0.984848484848
ID#247 : time : 11, Operation : delete, fitness : -1.0
ID#248 : time : 63, Operation : replace, fitness : -1.0
ID#249 : time : 23, Operation : delete, fitness : -1.0
