### OUTPUT ###
ID#1 : time : 961, Operation : delete, fitness : -1.0
ID#2 : time : 545, Operation : delete, fitness : -1.0
ID#3 : time : 495, Operation : replace, fitness : -1.0
ID#4 : time : 83, Operation : delete, fitness : -1.0
ID#5 : time : 12, Operation : insert_after, fitness : -1.0
ID#6 : time : 3, Operation : insert_before, fitness : -1.0
ID#7 : time : 331, Operation : insert_after, fitness : -1.0
ID#8 : time : 239, Operation : delete, fitness : -1.0
ID#9 : time : 220, Operation : delete, fitness : -1.0
ID#10 : time : 172, Operation : delete, fitness : -1.0
ID#11 : time : 212, Operation : insert_before, fitness : -1.0
ID#12 : time : 1293, Operation : delete, fitness : 0.939393939394
ID#13 : time : 187, Operation : insert_after, fitness : -1.0
ID#14 : time : 176, Operation : insert_after, fitness : -1.0
ID#15 : time : 4, Operation : insert_after, fitness : -1.0
ID#16 : time : 715, Operation : delete, fitness : 0.984848484848
ID#17 : time : 83, Operation : replace, fitness : -1.0
ID#18 : time : 18, Operation : delete, fitness : -1.0
ID#19 : time : 84, Operation : replace, fitness : -1.0
ID#20 : time : 85, Operation : replace, fitness : -1.0
ID#21 : time : 111, Operation : replace, fitness : -1.0
ID#22 : time : 710, Operation : delete, fitness : 0.969696969697
ID#23 : time : 132, Operation : replace, fitness : -1.0
ID#24 : time : 1, Operation : insert_after, fitness : -1.0
ID#25 : time : 765, Operation : delete, fitness : 0.969696969697
ID#26 : time : 126, Operation : insert_after, fitness : -1.0
ID#27 : time : 0, Operation : insert_after, fitness : -1.0
ID#28 : time : 106, Operation : insert_after, fitness : -1.0
ID#29 : time : 84, Operation : delete, fitness : -1.0
ID#30 : time : 87, Operation : replace, fitness : -1.0
ID#31 : time : 82, Operation : replace, fitness : -1.0
ID#32 : time : 85, Operation : replace, fitness : -1.0
ID#33 : time : 111, Operation : insert_before, fitness : -1.0
ID#34 : time : 1, Operation : insert_after, fitness : -1.0
ID#35 : time : 18, Operation : delete, fitness : -1.0
ID#36 : time : 19, Operation : delete, fitness : -1.0
ID#37 : time : 24, Operation : delete, fitness : -1.0
ID#38 : time : 19, Operation : delete, fitness : -1.0
ID#39 : time : 124, Operation : replace, fitness : -1.0
ID#40 : time : 104, Operation : replace, fitness : -1.0
ID#41 : time : 1, Operation : insert_before, fitness : -1.0
ID#42 : time : 0, Operation : insert_before, fitness : -1.0
ID#43 : time : 0, Operation : insert_before, fitness : -1.0
ID#44 : time : 96, Operation : delete, fitness : -1.0
ID#45 : time : 105, Operation : insert_after, fitness : -1.0
ID#46 : time : 21, Operation : delete, fitness : -1.0
ID#47 : time : 0, Operation : insert_after, fitness : -1.0
ID#48 : time : 2, Operation : insert_after, fitness : -1.0
ID#49 : time : 132, Operation : insert_before, fitness : -1.0
ID#50 : time : 103, Operation : replace, fitness : -1.0
ID#51 : time : 107, Operation : replace, fitness : -1.0
ID#52 : time : 107, Operation : insert_before, fitness : -1.0
ID#53 : time : 119, Operation : replace, fitness : -1.0
ID#54 : time : 155, Operation : replace, fitness : -1.0
ID#55 : time : 203, Operation : insert_before, fitness : -1.0
