### OUTPUT ###
ID#1 : time : 636, Operation : delete, fitness : -1.0
ID#2 : time : 355, Operation : delete, fitness : -1.0
ID#3 : time : 283, Operation : replace, fitness : -1.0
ID#4 : time : 23, Operation : delete, fitness : -1.0
ID#5 : time : 15, Operation : insert_after, fitness : -1.0
ID#6 : time : 11, Operation : insert_before, fitness : -1.0
ID#7 : time : 222, Operation : insert_after, fitness : -1.0
ID#8 : time : 145, Operation : delete, fitness : -1.0
ID#9 : time : 160, Operation : delete, fitness : -1.0
ID#10 : time : 142, Operation : delete, fitness : -1.0
ID#11 : time : 173, Operation : insert_before, fitness : -1.0
ID#12 : time : 905, Operation : delete, fitness : 0.939393939394
ID#13 : time : 95, Operation : insert_after, fitness : -1.0
ID#14 : time : 100, Operation : insert_after, fitness : -1.0
ID#15 : time : 0, Operation : insert_after, fitness : -1.0
ID#16 : time : 579, Operation : delete, fitness : 0.984848484848
ID#17 : time : 104, Operation : replace, fitness : -1.0
ID#18 : time : 15, Operation : delete, fitness : -1.0
ID#19 : time : 106, Operation : replace, fitness : -1.0
ID#20 : time : 101, Operation : replace, fitness : -1.0
ID#21 : time : 132, Operation : replace, fitness : -1.0
ID#22 : time : 621, Operation : delete, fitness : 0.969696969697
ID#23 : time : 89, Operation : replace, fitness : -1.0
ID#24 : time : 1, Operation : insert_after, fitness : -1.0
ID#25 : time : 453, Operation : delete, fitness : 0.969696969697
ID#26 : time : 85, Operation : insert_after, fitness : -1.0
ID#27 : time : 0, Operation : insert_after, fitness : -1.0
ID#28 : time : 89, Operation : insert_after, fitness : -1.0
ID#29 : time : 84, Operation : delete, fitness : -1.0
ID#30 : time : 121, Operation : replace, fitness : -1.0
ID#31 : time : 77, Operation : replace, fitness : -1.0
ID#32 : time : 83, Operation : replace, fitness : -1.0
ID#33 : time : 100, Operation : insert_before, fitness : -1.0
ID#34 : time : 1, Operation : insert_after, fitness : -1.0
ID#35 : time : 16, Operation : delete, fitness : -1.0
ID#36 : time : 19, Operation : delete, fitness : -1.0
ID#37 : time : 17, Operation : delete, fitness : -1.0
ID#38 : time : 16, Operation : delete, fitness : -1.0
ID#39 : time : 102, Operation : replace, fitness : -1.0
ID#40 : time : 108, Operation : replace, fitness : -1.0
ID#41 : time : 1, Operation : insert_before, fitness : -1.0
ID#42 : time : 0, Operation : insert_before, fitness : -1.0
ID#43 : time : 0, Operation : insert_before, fitness : -1.0
ID#44 : time : 107, Operation : delete, fitness : -1.0
ID#45 : time : 88, Operation : insert_after, fitness : -1.0
ID#46 : time : 17, Operation : delete, fitness : -1.0
ID#47 : time : 0, Operation : insert_after, fitness : -1.0
ID#48 : time : 0, Operation : insert_after, fitness : -1.0
ID#49 : time : 96, Operation : insert_before, fitness : -1.0
ID#50 : time : 91, Operation : replace, fitness : -1.0
ID#51 : time : 93, Operation : replace, fitness : -1.0
ID#52 : time : 80, Operation : insert_before, fitness : -1.0
ID#53 : time : 108, Operation : replace, fitness : -1.0
ID#54 : time : 119, Operation : replace, fitness : -1.0
ID#55 : time : 177, Operation : insert_before, fitness : -1.0
ID#56 : time : 108, Operation : replace, fitness : -1.0
ID#57 : time : 21, Operation : delete, fitness : -1.0
ID#58 : time : 87, Operation : insert_before, fitness : -1.0
ID#59 : time : 0, Operation : insert_after, fitness : -1.0
ID#60 : time : 91, Operation : insert_before, fitness : -1.0
