### OUTPUT ###
ID#1 : time : 375, Operation : delete, fitness : -1.0
ID#2 : time : 202, Operation : delete, fitness : -1.0
ID#3 : time : 218, Operation : replace, fitness : -1.0
ID#4 : time : 26, Operation : delete, fitness : -1.0
ID#5 : time : 3, Operation : insert_after, fitness : -1.0
ID#6 : time : 3, Operation : insert_before, fitness : -1.0
ID#7 : time : 151, Operation : insert_after, fitness : -1.0
ID#8 : time : 130, Operation : delete, fitness : -1.0
ID#9 : time : 99, Operation : delete, fitness : -1.0
ID#10 : time : 101, Operation : delete, fitness : -1.0
ID#11 : time : 244, Operation : insert_before, fitness : -1.0
ID#12 : time : 594, Operation : delete, fitness : 0.939393939394
ID#13 : time : 79, Operation : insert_after, fitness : -1.0
ID#14 : time : 107, Operation : insert_after, fitness : -1.0
ID#15 : time : 1, Operation : insert_after, fitness : -1.0
ID#16 : time : 553, Operation : delete, fitness : 0.984848484848
ID#17 : time : 80, Operation : replace, fitness : -1.0
ID#18 : time : 19, Operation : delete, fitness : -1.0
ID#19 : time : 75, Operation : replace, fitness : -1.0
ID#20 : time : 71, Operation : replace, fitness : -1.0
ID#21 : time : 98, Operation : replace, fitness : -1.0
ID#22 : time : 522, Operation : delete, fitness : 0.969696969697
ID#23 : time : 85, Operation : replace, fitness : -1.0
ID#24 : time : 0, Operation : insert_after, fitness : -1.0
ID#25 : time : 322, Operation : delete, fitness : 0.969696969697
ID#26 : time : 66, Operation : insert_after, fitness : -1.0
ID#27 : time : 0, Operation : insert_after, fitness : -1.0
ID#28 : time : 70, Operation : insert_after, fitness : -1.0
ID#29 : time : 57, Operation : delete, fitness : -1.0
ID#30 : time : 66, Operation : replace, fitness : -1.0
ID#31 : time : 87, Operation : replace, fitness : -1.0
ID#32 : time : 60, Operation : replace, fitness : -1.0
ID#33 : time : 64, Operation : insert_before, fitness : -1.0
ID#34 : time : 0, Operation : insert_after, fitness : -1.0
ID#35 : time : 13, Operation : delete, fitness : -1.0
ID#36 : time : 13, Operation : delete, fitness : -1.0
ID#37 : time : 13, Operation : delete, fitness : -1.0
ID#38 : time : 11, Operation : delete, fitness : -1.0
ID#39 : time : 59, Operation : replace, fitness : -1.0
