### OUTPUT ###
ID#1 : time : 732, Operation : delete, fitness : -1.0
ID#2 : time : 447, Operation : delete, fitness : -1.0
ID#3 : time : 482, Operation : replace, fitness : -1.0
ID#4 : time : 58, Operation : delete, fitness : -1.0
ID#5 : time : 6, Operation : insert_after, fitness : -1.0
ID#6 : time : 4, Operation : insert_before, fitness : -1.0
ID#7 : time : 365, Operation : insert_after, fitness : -1.0
ID#8 : time : 280, Operation : delete, fitness : -1.0
ID#9 : time : 270, Operation : delete, fitness : -1.0
ID#10 : time : 226, Operation : delete, fitness : -1.0
ID#11 : time : 250, Operation : insert_before, fitness : -1.0
ID#12 : time : 1335, Operation : delete, fitness : 0.939393939394
ID#13 : time : 165, Operation : insert_after, fitness : -1.0
ID#14 : time : 156, Operation : insert_after, fitness : -1.0
ID#15 : time : 2, Operation : insert_after, fitness : -1.0
ID#16 : time : 703, Operation : delete, fitness : 0.984848484848
ID#17 : time : 106, Operation : replace, fitness : -1.0
ID#18 : time : 21, Operation : delete, fitness : -1.0
ID#19 : time : 106, Operation : replace, fitness : -1.0
ID#20 : time : 122, Operation : replace, fitness : -1.0
ID#21 : time : 167, Operation : replace, fitness : -1.0
ID#22 : time : 748, Operation : delete, fitness : 0.969696969697
ID#23 : time : 152, Operation : replace, fitness : -1.0
ID#24 : time : 3, Operation : insert_after, fitness : -1.0
ID#25 : time : 787, Operation : delete, fitness : 0.969696969697
ID#26 : time : 133, Operation : insert_after, fitness : -1.0
ID#27 : time : 1, Operation : insert_after, fitness : -1.0
ID#28 : time : 125, Operation : insert_after, fitness : -1.0
ID#29 : time : 120, Operation : delete, fitness : -1.0
ID#30 : time : 129, Operation : replace, fitness : -1.0
ID#31 : time : 146, Operation : replace, fitness : -1.0
ID#32 : time : 164, Operation : replace, fitness : -1.0
ID#33 : time : 147, Operation : insert_before, fitness : -1.0
ID#34 : time : 1, Operation : insert_after, fitness : -1.0
ID#35 : time : 21, Operation : delete, fitness : -1.0
ID#36 : time : 24, Operation : delete, fitness : -1.0
ID#37 : time : 23, Operation : delete, fitness : -1.0
ID#38 : time : 23, Operation : delete, fitness : -1.0
ID#39 : time : 159, Operation : replace, fitness : -1.0
ID#40 : time : 157, Operation : replace, fitness : -1.0
ID#41 : time : 1, Operation : insert_before, fitness : -1.0
ID#42 : time : 0, Operation : insert_before, fitness : -1.0
ID#43 : time : 1, Operation : insert_before, fitness : -1.0
ID#44 : time : 194, Operation : delete, fitness : -1.0
ID#45 : time : 148, Operation : insert_after, fitness : -1.0
ID#46 : time : 26, Operation : delete, fitness : -1.0
ID#47 : time : 1, Operation : insert_after, fitness : -1.0
ID#48 : time : 1, Operation : insert_after, fitness : -1.0
ID#49 : time : 229, Operation : insert_before, fitness : -1.0
ID#50 : time : 105, Operation : replace, fitness : -1.0
ID#51 : time : 100, Operation : replace, fitness : -1.0
ID#52 : time : 119, Operation : insert_before, fitness : -1.0
ID#53 : time : 109, Operation : replace, fitness : -1.0
ID#54 : time : 132, Operation : replace, fitness : -1.0
ID#55 : time : 132, Operation : insert_before, fitness : -1.0
ID#56 : time : 95, Operation : replace, fitness : -1.0
ID#57 : time : 19, Operation : delete, fitness : -1.0
