### OUTPUT ###
ID#1 : time : 411, Operation : delete, fitness : -1.0
ID#2 : time : 230, Operation : delete, fitness : -1.0
ID#3 : time : 219, Operation : replace, fitness : -1.0
ID#4 : time : 16, Operation : delete, fitness : -1.0
ID#5 : time : 5, Operation : insert_after, fitness : -1.0
ID#6 : time : 4, Operation : insert_before, fitness : -1.0
ID#7 : time : 145, Operation : insert_after, fitness : -1.0
ID#8 : time : 100, Operation : delete, fitness : -1.0
ID#9 : time : 115, Operation : delete, fitness : -1.0
ID#10 : time : 98, Operation : delete, fitness : -1.0
ID#11 : time : 136, Operation : insert_before, fitness : -1.0
ID#12 : time : 719, Operation : delete, fitness : 0.939393939394
ID#13 : time : 96, Operation : insert_after, fitness : -1.0
ID#14 : time : 102, Operation : insert_after, fitness : -1.0
ID#15 : time : 1, Operation : insert_after, fitness : -1.0
ID#16 : time : 520, Operation : delete, fitness : 0.984848484848
ID#17 : time : 87, Operation : replace, fitness : -1.0
ID#18 : time : 14, Operation : delete, fitness : -1.0
ID#19 : time : 80, Operation : replace, fitness : -1.0
ID#20 : time : 77, Operation : replace, fitness : -1.0
ID#21 : time : 92, Operation : replace, fitness : -1.0
ID#22 : time : 397, Operation : delete, fitness : 0.969696969697
ID#23 : time : 65, Operation : replace, fitness : -1.0
ID#24 : time : 0, Operation : insert_after, fitness : -1.0
ID#25 : time : 546, Operation : delete, fitness : 0.969696969697
ID#26 : time : 60, Operation : insert_after, fitness : -1.0
ID#27 : time : 0, Operation : insert_after, fitness : -1.0
ID#28 : time : 65, Operation : insert_after, fitness : -1.0
ID#29 : time : 67, Operation : delete, fitness : -1.0
ID#30 : time : 90, Operation : replace, fitness : -1.0
ID#31 : time : 71, Operation : replace, fitness : -1.0
ID#32 : time : 62, Operation : replace, fitness : -1.0
ID#33 : time : 64, Operation : insert_before, fitness : -1.0
ID#34 : time : 0, Operation : insert_after, fitness : -1.0
ID#35 : time : 13, Operation : delete, fitness : -1.0
ID#36 : time : 14, Operation : delete, fitness : -1.0
ID#37 : time : 15, Operation : delete, fitness : -1.0
