### OUTPUT ###
ID#1 : time : 27423, Operation : delete, fitness : 0.64
ID#2 : time : 7, Operation : delete, fitness : -1.0
ID#3 : time : 127, Operation : replace, fitness : -1.0
ID#4 : time : 8, Operation : delete, fitness : -1.0
ID#5 : time : 1, Operation : insert_before, fitness : -1.0
ID#6 : time : 74, Operation : replace, fitness : -1.0
ID#7 : time : 243, Operation : delete, fitness : 0.88
ID#8 : time : 67, Operation : insert_before, fitness : -1.0
ID#9 : time : 58, Operation : replace, fitness : -1.0
ID#10 : time : 59, Operation : replace, fitness : -1.0
ID#11 : time : 8, Operation : delete, fitness : -1.0
ID#12 : time : 69, Operation : insert_before, fitness : -1.0
ID#13 : time : 51, Operation : insert_after, fitness : -1.0
ID#14 : time : 52, Operation : replace, fitness : -1.0
ID#15 : time : 55, Operation : insert_before, fitness : -1.0
ID#16 : time : 59, Operation : insert_before, fitness : -1.0
ID#17 : time : 243, Operation : delete, fitness : 0.92
ID#18 : time : 205, Operation : replace, fitness : 0.92
ID#19 : time : 37, Operation : replace, fitness : -1.0
ID#20 : time : 37, Operation : replace, fitness : -1.0
ID#21 : time : 6, Operation : delete, fitness : -1.0
ID#22 : time : 8, Operation : delete, fitness : -1.0
ID#23 : time : 49, Operation : insert_before, fitness : -1.0
ID#24 : time : 57, Operation : replace, fitness : -1.0
ID#25 : time : 54, Operation : insert_before, fitness : -1.0
ID#26 : time : 4, Operation : delete, fitness : -1.0
ID#27 : time : 215, Operation : replace, fitness : 0.84
ID#28 : time : 5, Operation : delete, fitness : -1.0
ID#29 : time : 40, Operation : replace, fitness : -1.0
ID#30 : time : 37, Operation : replace, fitness : -1.0
ID#31 : time : 68, Operation : replace, fitness : -1.0
ID#32 : time : 4, Operation : delete, fitness : -1.0
ID#33 : time : 207, Operation : delete, fitness : 0.8
ID#34 : time : 39, Operation : insert_after, fitness : -1.0
ID#35 : time : 45, Operation : insert_before, fitness : -1.0
ID#36 : time : 188, Operation : delete, fitness : 0.92
ID#37 : time : 48, Operation : insert_after, fitness : -1.0
ID#38 : time : 47, Operation : delete, fitness : -1.0
ID#39 : time : 44, Operation : replace, fitness : -1.0
ID#40 : time : 44, Operation : replace, fitness : -1.0
ID#41 : time : 4, Operation : delete, fitness : -1.0
ID#42 : time : 38, Operation : insert_after, fitness : -1.0
ID#43 : time : 5, Operation : delete, fitness : -1.0
ID#44 : time : 43, Operation : replace, fitness : -1.0
ID#45 : time : 33, Operation : insert_before, fitness : -1.0
ID#46 : time : 34, Operation : insert_after, fitness : -1.0
ID#47 : time : 36, Operation : delete, fitness : -1.0
ID#48 : time : 34, Operation : insert_after, fitness : -1.0
ID#49 : time : 21150, Operation : delete, fitness : 0.68
ID#50 : time : 0, Operation : insert_after, fitness : -1.0
ID#51 : time : 33, Operation : replace, fitness : -1.0
ID#52 : time : 38, Operation : replace, fitness : -1.0
