### OUTPUT ###
ID#1 : time : 27429, Operation : delete, fitness : 0.64
ID#50 : time : 0, Operation : insert_after, fitness : -1.0
ID#51 : time : 38, Operation : replace, fitness : -1.0
ID#52 : time : 39, Operation : replace, fitness : -1.0
ID#53 : time : 214, Operation : replace, fitness : 0.88
ID#54 : time : 43, Operation : insert_before, fitness : -1.0
ID#55 : time : 165, Operation : insert_after, fitness : 0.92
ID#56 : time : 39, Operation : replace, fitness : -1.0
ID#57 : time : 4, Operation : delete, fitness : -1.0
ID#58 : time : 4, Operation : delete, fitness : -1.0
ID#59 : time : 3, Operation : delete, fitness : -1.0
ID#60 : time : 182, Operation : delete, fitness : 0.88
ID#61 : time : 34, Operation : replace, fitness : -1.0
ID#62 : time : 42, Operation : insert_before, fitness : -1.0
ID#63 : time : 4, Operation : delete, fitness : -1.0
ID#64 : time : 178, Operation : delete, fitness : 0.92
ID#65 : time : 36, Operation : delete, fitness : -1.0
ID#66 : time : 0, Operation : insert_before, fitness : -1.0
ID#67 : time : 0, Operation : insert_after, fitness : -1.0
ID#68 : time : 36, Operation : replace, fitness : -1.0
ID#69 : time : 35, Operation : insert_after, fitness : -1.0
ID#70 : time : 114, Operation : delete, fitness : 0.76
ID#71 : time : 282, Operation : insert_before, fitness : -1.0
ID#72 : time : 4, Operation : delete, fitness : -1.0
ID#73 : time : 232, Operation : insert_after, fitness : -1.0
ID#74 : time : 366, Operation : delete, fitness : 0.88
ID#75 : time : 15367, Operation : delete, fitness : 0.76
ID#76 : time : 272, Operation : insert_before, fitness : -1.0
ID#77 : time : 233, Operation : insert_before, fitness : -1.0
ID#78 : time : 268, Operation : replace, fitness : -1.0
ID#79 : time : 36, Operation : replace, fitness : -1.0
ID#80 : time : 171, Operation : insert_before, fitness : -1.0
ID#81 : time : 203, Operation : replace, fitness : -1.0
ID#82 : time : 41, Operation : insert_after, fitness : -1.0
ID#83 : time : 303, Operation : delete, fitness : -1.0
ID#84 : time : 220, Operation : replace, fitness : -1.0
ID#85 : time : 263, Operation : insert_before, fitness : -1.0
ID#86 : time : 262, Operation : insert_before, fitness : -1.0
ID#87 : time : 268, Operation : insert_before, fitness : -1.0
ID#88 : time : 202, Operation : replace, fitness : -1.0
ID#89 : time : 212, Operation : insert_before, fitness : -1.0
ID#90 : time : 351, Operation : replace, fitness : 0.88
ID#91 : time : 268, Operation : replace, fitness : -1.0
ID#92 : time : 34, Operation : delete, fitness : -1.0
ID#93 : time : 3, Operation : delete, fitness : -1.0
ID#94 : time : 257, Operation : delete, fitness : -1.0
ID#95 : time : 173, Operation : delete, fitness : -1.0
ID#96 : time : 387, Operation : delete, fitness : 0.92
ID#97 : time : 260, Operation : replace, fitness : -1.0
ID#98 : time : 217, Operation : replace, fitness : -1.0
ID#99 : time : 345, Operation : replace, fitness : 0.88
ID#100 : time : 232, Operation : insert_before, fitness : -1.0
ID#101 : time : 336, Operation : delete, fitness : 0.88
ID#102 : time : 329, Operation : delete, fitness : 0.76
ID#103 : time : 200, Operation : delete, fitness : -1.0
ID#104 : time : 203, Operation : replace, fitness : -1.0
ID#105 : time : 18336, Operation : delete, fitness : 0.64
ID#106 : time : 269, Operation : insert_before, fitness : -1.0
ID#107 : time : 18362, Operation : delete, fitness : 0.64
ID#108 : time : 188, Operation : delete, fitness : -1.0
ID#109 : time : 412, Operation : insert_before, fitness : 0.92
ID#110 : time : 37, Operation : replace, fitness : -1.0
ID#111 : time : 425, Operation : delete, fitness : 0.92
ID#112 : time : 261, Operation : insert_after, fitness : -1.0
ID#113 : time : 273, Operation : delete, fitness : -1.0
ID#114 : time : 395, Operation : delete, fitness : 0.8
ID#115 : time : 169, Operation : insert_after, fitness : -1.0
ID#116 : time : 346, Operation : delete, fitness : 0.92
ID#117 : time : 185, Operation : delete, fitness : -1.0
ID#118 : time : 267, Operation : replace, fitness : -1.0
ID#119 : time : 346, Operation : delete, fitness : 0.88
ID#120 : time : 226, Operation : insert_after, fitness : -1.0
ID#121 : time : 513, Operation : delete, fitness : 0.88
ID#122 : time : 288, Operation : replace, fitness : -1.0
ID#123 : time : 236, Operation : delete, fitness : -1.0
ID#124 : time : 272, Operation : insert_after, fitness : -1.0
ID#125 : time : 31, Operation : replace, fitness : -1.0
ID#126 : time : 4, Operation : delete, fitness : -1.0
ID#127 : time : 391, Operation : insert_before, fitness : 0.92
ID#128 : time : 271, Operation : replace, fitness : -1.0
ID#129 : time : 283, Operation : insert_after, fitness : -1.0
ID#130 : time : 178, Operation : delete, fitness : -1.0
ID#131 : time : 201, Operation : delete, fitness : -1.0
ID#132 : time : 215, Operation : delete, fitness : -1.0
ID#133 : time : 0, Operation : insert_before, fitness : -1.0
ID#134 : time : 310, Operation : delete, fitness : -1.0
ID#135 : time : 400, Operation : delete, fitness : 0.92
ID#136 : time : 173, Operation : delete, fitness : -1.0
ID#137 : time : 203, Operation : replace, fitness : -1.0
ID#138 : time : 394, Operation : delete, fitness : 0.88
ID#139 : time : 264, Operation : insert_after, fitness : -1.0
ID#140 : time : 206, Operation : replace, fitness : -1.0
ID#141 : time : 501, Operation : delete, fitness : -1.0
ID#142 : time : 462, Operation : replace, fitness : -1.0
ID#143 : time : 402, Operation : insert_after, fitness : -1.0
ID#144 : time : 460, Operation : insert_before, fitness : -1.0
ID#145 : time : 36, Operation : delete, fitness : -1.0
ID#146 : time : 424, Operation : replace, fitness : -1.0
ID#147 : time : 7, Operation : delete, fitness : -1.0
ID#148 : time : 399, Operation : delete, fitness : -1.0
ID#149 : time : 448, Operation : insert_after, fitness : -1.0
ID#150 : time : 431, Operation : insert_before, fitness : -1.0
ID#151 : time : 426, Operation : insert_before, fitness : -1.0
ID#152 : time : 33, Operation : replace, fitness : -1.0
ID#153 : time : 7, Operation : delete, fitness : -1.0
ID#154 : time : 598, Operation : delete, fitness : 0.92
ID#155 : time : 455, Operation : insert_after, fitness : -1.0
ID#156 : time : 453, Operation : replace, fitness : -1.0
ID#157 : time : 248, Operation : delete, fitness : 0.92
ID#158 : time : 21130, Operation : delete, fitness : 0.64
ID#159 : time : 178, Operation : delete, fitness : 0.8
ID#160 : time : 460, Operation : insert_after, fitness : -1.0
ID#161 : time : 440, Operation : insert_after, fitness : -1.0
ID#162 : time : 6, Operation : delete, fitness : -1.0
ID#163 : time : 35, Operation : insert_before, fitness : -1.0
ID#164 : time : 431, Operation : delete, fitness : -1.0
ID#165 : time : 423, Operation : delete, fitness : -1.0
ID#166 : time : 424, Operation : delete, fitness : -1.0
ID#167 : time : 41, Operation : insert_after, fitness : -1.0
ID#168 : time : 396, Operation : insert_before, fitness : -1.0
ID#169 : time : 395, Operation : insert_before, fitness : -1.0
ID#170 : time : 448, Operation : delete, fitness : -1.0
ID#171 : time : 430, Operation : delete, fitness : -1.0
ID#172 : time : 33, Operation : replace, fitness : -1.0
ID#173 : time : 446, Operation : insert_after, fitness : -1.0
ID#174 : time : 447, Operation : replace, fitness : -1.0
ID#175 : time : 40, Operation : replace, fitness : -1.0
ID#176 : time : 456, Operation : insert_after, fitness : -1.0
ID#177 : time : 454, Operation : insert_after, fitness : -1.0
ID#178 : time : 35, Operation : insert_before, fitness : -1.0
ID#179 : time : 34, Operation : replace, fitness : -1.0
ID#180 : time : 18509, Operation : delete, fitness : 0.64
ID#181 : time : 395, Operation : insert_after, fitness : -1.0
ID#182 : time : 36, Operation : insert_after, fitness : -1.0
ID#183 : time : 35, Operation : insert_before, fitness : -1.0
ID#184 : time : 427, Operation : insert_after, fitness : -1.0
ID#185 : time : 410, Operation : delete, fitness : -1.0
ID#186 : time : 173, Operation : delete, fitness : 0.92
ID#187 : time : 4, Operation : insert_before, fitness : -1.0
ID#188 : time : 4, Operation : insert_before, fitness : -1.0
ID#189 : time : 452, Operation : replace, fitness : -1.0
ID#190 : time : 471, Operation : replace, fitness : -1.0
ID#191 : time : 15499, Operation : delete, fitness : 0.76
ID#192 : time : 459, Operation : replace, fitness : -1.0
ID#193 : time : 422, Operation : insert_after, fitness : -1.0
ID#194 : time : 409, Operation : insert_after, fitness : -1.0
ID#195 : time : 459, Operation : delete, fitness : -1.0
ID#196 : time : 430, Operation : replace, fitness : -1.0
ID#197 : time : 34, Operation : replace, fitness : -1.0
ID#198 : time : 52, Operation : replace, fitness : -1.0
ID#199 : time : 38, Operation : delete, fitness : -1.0
ID#200 : time : 450, Operation : insert_after, fitness : -1.0
ID#201 : time : 441, Operation : replace, fitness : -1.0
ID#202 : time : 3, Operation : insert_after, fitness : -1.0
ID#203 : time : 171, Operation : replace, fitness : 0.88
ID#204 : time : 438, Operation : replace, fitness : -1.0
ID#205 : time : 636, Operation : delete, fitness : 0.92
ID#206 : time : 448, Operation : delete, fitness : -1.0
ID#207 : time : 43, Operation : replace, fitness : -1.0
ID#208 : time : 10, Operation : delete, fitness : -1.0
ID#209 : time : 33, Operation : delete, fitness : -1.0
ID#210 : time : 179, Operation : replace, fitness : 0.92
ID#211 : time : 796, Operation : random-crossover, fitness : 0.92
ID#212 : time : 822, Operation : random-crossover, fitness : -1.0
ID#213 : time : 809, Operation : random-crossover, fitness : -1.0
ID#214 : time : 797, Operation : random-crossover, fitness : -1.0
ID#215 : time : 820, Operation : random-crossover, fitness : -1.0
ID#216 : time : 793, Operation : random-crossover, fitness : 0.92
ID#217 : time : 795, Operation : random-crossover, fitness : 0.92
ID#218 : time : 807, Operation : random-crossover, fitness : 0.92
ID#219 : time : 809, Operation : random-crossover, fitness : -1.0
ID#220 : time : 822, Operation : random-crossover, fitness : -1.0
ID#221 : time : 816, Operation : random-crossover, fitness : -1.0
ID#222 : time : 813, Operation : random-crossover, fitness : -1.0
ID#223 : time : 825, Operation : random-crossover, fitness : 0.92
ID#224 : time : 806, Operation : random-crossover, fitness : -1.0
ID#225 : time : 819, Operation : random-crossover, fitness : -1.0
ID#226 : time : 794, Operation : random-crossover, fitness : -1.0
ID#227 : time : 819, Operation : random-crossover, fitness : -1.0
ID#228 : time : 794, Operation : random-crossover, fitness : -1.0
ID#229 : time : 806, Operation : random-crossover, fitness : -1.0
ID#230 : time : 819, Operation : random-crossover, fitness : -1.0
ID#231 : time : 794, Operation : random-crossover, fitness : -1.0
ID#232 : time : 793, Operation : random-crossover, fitness : -1.0
ID#233 : time : 806, Operation : random-crossover, fitness : -1.0
ID#234 : time : 794, Operation : random-crossover, fitness : -1.0
ID#235 : time : 807, Operation : random-crossover, fitness : -1.0
ID#236 : time : 795, Operation : random-crossover, fitness : -1.0
ID#237 : time : 794, Operation : random-crossover, fitness : -1.0
ID#238 : time : 820, Operation : random-crossover, fitness : -1.0
ID#239 : time : 818, Operation : random-crossover, fitness : -1.0
ID#240 : time : 819, Operation : random-crossover, fitness : -1.0
ID#241 : time : 165, Operation : delete, fitness : 0.88
ID#242 : time : 835, Operation : replace, fitness : -1.0
ID#243 : time : 804, Operation : delete, fitness : -1.0
ID#244 : time : 356, Operation : delete, fitness : 0.8
ID#245 : time : 21914, Operation : delete, fitness : 0.64
ID#246 : time : 968, Operation : replace, fitness : 0.92
ID#247 : time : 803, Operation : insert_before, fitness : -1.0
ID#248 : time : 903, Operation : insert_after, fitness : -1.0
ID#249 : time : 187, Operation : insert_before, fitness : -1.0
ID#250 : time : 850, Operation : insert_before, fitness : -1.0
ID#251 : time : 221, Operation : insert_after, fitness : -1.0
ID#252 : time : 867, Operation : replace, fitness : -1.0
ID#253 : time : 11, Operation : delete, fitness : -1.0
ID#254 : time : 15307, Operation : delete, fitness : 0.76
ID#255 : time : 816, Operation : insert_after, fitness : -1.0
ID#256 : time : 226, Operation : delete, fitness : -1.0
ID#257 : time : 846, Operation : insert_after, fitness : -1.0
ID#258 : time : 50, Operation : insert_after, fitness : -1.0
ID#259 : time : 4, Operation : insert_after, fitness : -1.0
ID#260 : time : 841, Operation : insert_before, fitness : -1.0
ID#261 : time : 223, Operation : insert_after, fitness : -1.0
ID#262 : time : 818, Operation : delete, fitness : -1.0
ID#263 : time : 44, Operation : replace, fitness : -1.0
ID#264 : time : 45, Operation : replace, fitness : -1.0
ID#265 : time : 45, Operation : replace, fitness : -1.0
ID#266 : time : 35, Operation : replace, fitness : -1.0
ID#267 : time : 844, Operation : delete, fitness : -1.0
ID#268 : time : 801, Operation : insert_after, fitness : -1.0
ID#269 : time : 9, Operation : delete, fitness : -1.0
ID#270 : time : 46, Operation : replace, fitness : -1.0
ID#271 : time : 834, Operation : insert_before, fitness : -1.0
ID#272 : time : 219, Operation : delete, fitness : -1.0
ID#273 : time : 7, Operation : insert_after, fitness : -1.0
ID#274 : time : 21302, Operation : delete, fitness : 0.64
ID#275 : time : 851, Operation : delete, fitness : -1.0
ID#276 : time : 7, Operation : delete, fitness : -1.0
ID#277 : time : 34, Operation : insert_before, fitness : -1.0
ID#278 : time : 216, Operation : replace, fitness : -1.0
ID#279 : time : 805, Operation : replace, fitness : -1.0
ID#280 : time : 8, Operation : insert_before, fitness : -1.0
ID#281 : time : 832, Operation : replace, fitness : -1.0
ID#282 : time : 829, Operation : delete, fitness : -1.0
ID#283 : time : 37, Operation : replace, fitness : -1.0
ID#284 : time : 7, Operation : delete, fitness : -1.0
ID#285 : time : 7, Operation : insert_after, fitness : -1.0
ID#286 : time : 227, Operation : delete, fitness : -1.0
ID#287 : time : 844, Operation : insert_after, fitness : -1.0
ID#288 : time : 37, Operation : delete, fitness : -1.0
ID#289 : time : 35, Operation : replace, fitness : -1.0
ID#290 : time : 851, Operation : replace, fitness : -1.0
ID#291 : time : 7, Operation : delete, fitness : -1.0
ID#292 : time : 216, Operation : insert_after, fitness : -1.0
ID#293 : time : 217, Operation : delete, fitness : -1.0
ID#294 : time : 4, Operation : insert_before, fitness : -1.0
ID#295 : time : 353, Operation : delete, fitness : 0.88
ID#296 : time : 37, Operation : replace, fitness : -1.0
ID#297 : time : 187, Operation : insert_before, fitness : -1.0
ID#298 : time : 829, Operation : delete, fitness : -1.0
ID#299 : time : 218, Operation : replace, fitness : -1.0
ID#300 : time : 8, Operation : delete, fitness : -1.0
ID#301 : time : 830, Operation : replace, fitness : -1.0
ID#302 : time : 191, Operation : delete, fitness : -1.0
ID#303 : time : 36, Operation : insert_after, fitness : -1.0
ID#304 : time : 36, Operation : replace, fitness : -1.0
ID#305 : time : 38, Operation : replace, fitness : -1.0
ID#306 : time : 39, Operation : insert_after, fitness : -1.0
ID#307 : time : 800, Operation : insert_before, fitness : -1.0
ID#308 : time : 850, Operation : replace, fitness : -1.0
ID#309 : time : 804, Operation : delete, fitness : -1.0
ID#310 : time : 15917, Operation : delete, fitness : 0.76
ID#311 : time : 800, Operation : random-crossover, fitness : -1.0
ID#312 : time : 980, Operation : random-crossover, fitness : 0.88
ID#313 : time : 993, Operation : random-crossover, fitness : -1.0
ID#314 : time : 187, Operation : random-crossover, fitness : 0.88
ID#315 : time : 982, Operation : random-crossover, fitness : -1.0
ID#316 : time : 981, Operation : random-crossover, fitness : -1.0
ID#317 : time : 994, Operation : random-crossover, fitness : 0.88
ID#318 : time : 189, Operation : random-crossover, fitness : 0.88
ID#319 : time : 993, Operation : random-crossover, fitness : -1.0
ID#320 : time : 814, Operation : random-crossover, fitness : -1.0
ID#321 : time : 980, Operation : random-crossover, fitness : -1.0
ID#322 : time : 993, Operation : random-crossover, fitness : -1.0
ID#323 : time : 799, Operation : random-crossover, fitness : -1.0
ID#324 : time : 1607, Operation : random-crossover, fitness : -1.0
ID#325 : time : 799, Operation : random-crossover, fitness : -1.0
ID#326 : time : 993, Operation : random-crossover, fitness : -1.0
ID#327 : time : 799, Operation : random-crossover, fitness : -1.0
ID#328 : time : 799, Operation : random-crossover, fitness : -1.0
ID#329 : time : 814, Operation : random-crossover, fitness : -1.0
ID#330 : time : 980, Operation : random-crossover, fitness : -1.0
ID#331 : time : 993, Operation : random-crossover, fitness : -1.0
ID#332 : time : 799, Operation : random-crossover, fitness : -1.0
ID#333 : time : 979, Operation : random-crossover, fitness : -1.0
ID#334 : time : 186, Operation : random-crossover, fitness : -1.0
ID#335 : time : 979, Operation : random-crossover, fitness : -1.0
ID#336 : time : 994, Operation : random-crossover, fitness : -1.0
ID#337 : time : 186, Operation : random-crossover, fitness : -1.0
ID#338 : time : 993, Operation : random-crossover, fitness : -1.0
ID#339 : time : 187, Operation : random-crossover, fitness : -1.0
ID#340 : time : 993, Operation : random-crossover, fitness : -1.0
ID#341 : time : 10, Operation : delete, fitness : -1.0
ID#342 : time : 35, Operation : delete, fitness : -1.0
ID#343 : time : 183, Operation : delete, fitness : 0.92
ID#344 : time : 7, Operation : insert_after, fitness : -1.0
ID#345 : time : 7, Operation : delete, fitness : -1.0
ID#346 : time : 49, Operation : insert_after, fitness : -1.0
ID#347 : time : 33, Operation : delete, fitness : -1.0
ID#348 : time : 11, Operation : delete, fitness : -1.0
ID#349 : time : 43, Operation : replace, fitness : -1.0
ID#350 : time : 182, Operation : delete, fitness : 0.88
ID#351 : time : 42, Operation : insert_before, fitness : -1.0
ID#352 : time : 7, Operation : insert_after, fitness : -1.0
ID#353 : time : 46, Operation : replace, fitness : -1.0
ID#354 : time : 27148, Operation : delete, fitness : 0.64
ID#355 : time : 41, Operation : insert_after, fitness : -1.0
ID#356 : time : 43, Operation : insert_after, fitness : -1.0
ID#357 : time : 39, Operation : insert_after, fitness : -1.0
ID#358 : time : 171, Operation : delete, fitness : 0.92
ID#359 : time : 168, Operation : insert_before, fitness : 0.92
ID#360 : time : 43, Operation : insert_after, fitness : -1.0
ID#361 : time : 37, Operation : replace, fitness : -1.0
ID#362 : time : 10, Operation : delete, fitness : -1.0
ID#363 : time : 59, Operation : insert_after, fitness : -1.0
ID#364 : time : 50, Operation : insert_after, fitness : -1.0
ID#365 : time : 53, Operation : insert_after, fitness : -1.0
ID#366 : time : 56, Operation : replace, fitness : -1.0
ID#367 : time : 17, Operation : delete, fitness : -1.0
ID#368 : time : 178, Operation : delete, fitness : 0.92
ID#369 : time : 10, Operation : insert_before, fitness : -1.0
ID#370 : time : 11, Operation : replace, fitness : -1.0
ID#371 : time : 33, Operation : delete, fitness : -1.0
ID#372 : time : 43, Operation : delete, fitness : -1.0
ID#373 : time : 9, Operation : insert_before, fitness : -1.0
ID#374 : time : 41, Operation : insert_before, fitness : -1.0
ID#375 : time : 40, Operation : insert_before, fitness : -1.0
ID#376 : time : 43, Operation : delete, fitness : -1.0
ID#377 : time : 7, Operation : insert_after, fitness : -1.0
ID#378 : time : 41, Operation : replace, fitness : -1.0
ID#379 : time : 112, Operation : replace, fitness : 0.64
ID#380 : time : 37, Operation : insert_after, fitness : -1.0
ID#381 : time : 18108, Operation : delete, fitness : 0.64
ID#382 : time : 43, Operation : replace, fitness : -1.0
ID#383 : time : 193, Operation : delete, fitness : -1.0
ID#384 : time : 8, Operation : insert_after, fitness : -1.0
ID#385 : time : 44, Operation : replace, fitness : -1.0
ID#386 : time : 180, Operation : delete, fitness : 0.92
ID#387 : time : 27163, Operation : delete, fitness : 0.64
ID#388 : time : 224, Operation : delete, fitness : 0.8
ID#389 : time : 43, Operation : replace, fitness : -1.0
ID#390 : time : 10, Operation : delete, fitness : -1.0
ID#391 : time : 184, Operation : delete, fitness : 0.8
ID#392 : time : 15, Operation : delete, fitness : -1.0
ID#393 : time : 51, Operation : insert_before, fitness : -1.0
ID#394 : time : 57, Operation : delete, fitness : -1.0
ID#395 : time : 15, Operation : delete, fitness : -1.0
ID#396 : time : 43, Operation : replace, fitness : -1.0
ID#397 : time : 42, Operation : replace, fitness : -1.0
ID#398 : time : 8, Operation : insert_before, fitness : -1.0
ID#399 : time : 42, Operation : insert_after, fitness : -1.0
ID#400 : time : 34, Operation : replace, fitness : -1.0
ID#401 : time : 27115, Operation : delete, fitness : 0.64
ID#402 : time : 8, Operation : insert_before, fitness : -1.0
ID#403 : time : 39, Operation : replace, fitness : -1.0
ID#404 : time : 11, Operation : delete, fitness : -1.0
ID#405 : time : 10, Operation : delete, fitness : -1.0
ID#406 : time : 44, Operation : replace, fitness : -1.0
ID#407 : time : 5, Operation : insert_before, fitness : -1.0
ID#408 : time : 43, Operation : insert_after, fitness : -1.0
ID#409 : time : 38, Operation : replace, fitness : -1.0
ID#410 : time : 3115, Operation : insert_after, fitness : 0.84
ID#411 : time : 6, Operation : random-crossover, fitness : 0.8
ID#412 : time : 8, Operation : random-crossover, fitness : -1.0
ID#413 : time : 10, Operation : random-crossover, fitness : -1.0
ID#414 : time : 12, Operation : random-crossover, fitness : -1.0
ID#415 : time : 9, Operation : random-crossover, fitness : -1.0
ID#416 : time : 7, Operation : random-crossover, fitness : -1.0
ID#417 : time : 7, Operation : random-crossover, fitness : -1.0
ID#418 : time : 6, Operation : random-crossover, fitness : -1.0
ID#419 : time : 9, Operation : random-crossover, fitness : -1.0
ID#420 : time : 10, Operation : random-crossover, fitness : -1.0
ID#421 : time : 8, Operation : random-crossover, fitness : -1.0
ID#422 : time : 11, Operation : random-crossover, fitness : -1.0
ID#423 : time : 11, Operation : random-crossover, fitness : -1.0
ID#424 : time : 12, Operation : random-crossover, fitness : -1.0
ID#425 : time : 10, Operation : random-crossover, fitness : -1.0
ID#426 : time : 10, Operation : random-crossover, fitness : -1.0
ID#427 : time : 8, Operation : random-crossover, fitness : -1.0
ID#428 : time : 9, Operation : random-crossover, fitness : -1.0
ID#429 : time : 9, Operation : random-crossover, fitness : -1.0
ID#430 : time : 7, Operation : random-crossover, fitness : -1.0
ID#431 : time : 8, Operation : random-crossover, fitness : -1.0
ID#432 : time : 10, Operation : random-crossover, fitness : -1.0
ID#433 : time : 11, Operation : random-crossover, fitness : -1.0
ID#434 : time : 10, Operation : random-crossover, fitness : -1.0
ID#435 : time : 8, Operation : random-crossover, fitness : -1.0
ID#436 : time : 10, Operation : random-crossover, fitness : -1.0
ID#437 : time : 9, Operation : random-crossover, fitness : -1.0
ID#438 : time : 7, Operation : random-crossover, fitness : -1.0
ID#439 : time : 7, Operation : random-crossover, fitness : -1.0
ID#440 : time : 8, Operation : random-crossover, fitness : -1.0
ID#441 : time : 49, Operation : insert_after, fitness : -1.0
ID#442 : time : 239, Operation : replace, fitness : -1.0
ID#443 : time : 359, Operation : delete, fitness : 0.92
ID#444 : time : 201, Operation : delete, fitness : -1.0
ID#445 : time : 48, Operation : replace, fitness : -1.0
ID#446 : time : 227, Operation : replace, fitness : -1.0
ID#447 : time : 21323, Operation : delete, fitness : 0.64
ID#448 : time : 5, Operation : insert_after, fitness : -1.0
ID#449 : time : 365, Operation : replace, fitness : 0.92
ID#450 : time : 374, Operation : delete, fitness : 0.92
ID#451 : time : 196, Operation : insert_after, fitness : -1.0
ID#452 : time : 39, Operation : replace, fitness : -1.0
ID#453 : time : 244, Operation : replace, fitness : -1.0
ID#454 : time : 218, Operation : replace, fitness : -1.0
ID#455 : time : 34, Operation : replace, fitness : -1.0
ID#456 : time : 193, Operation : insert_after, fitness : -1.0
ID#457 : time : 7, Operation : delete, fitness : -1.0
ID#458 : time : 191, Operation : delete, fitness : -1.0
ID#459 : time : 230, Operation : insert_after, fitness : -1.0
ID#460 : time : 302, Operation : replace, fitness : -1.0
ID#461 : time : 224, Operation : replace, fitness : -1.0
ID#462 : time : 365, Operation : delete, fitness : 0.92
ID#463 : time : 8, Operation : delete, fitness : -1.0
ID#464 : time : 7, Operation : insert_after, fitness : -1.0
ID#465 : time : 193, Operation : delete, fitness : -1.0
ID#466 : time : 223, Operation : delete, fitness : -1.0
ID#467 : time : 8, Operation : insert_before, fitness : -1.0
ID#468 : time : 46, Operation : replace, fitness : -1.0
ID#469 : time : 233, Operation : replace, fitness : -1.0
ID#470 : time : 209, Operation : replace, fitness : -1.0
ID#471 : time : 192, Operation : delete, fitness : 0.96
ID#472 : time : 238, Operation : insert_before, fitness : -1.0
ID#473 : time : 184, Operation : delete, fitness : -1.0
ID#474 : time : 182, Operation : replace, fitness : 0.68
ID#475 : time : 38, Operation : replace, fitness : -1.0
ID#476 : time : 222, Operation : insert_after, fitness : -1.0
ID#477 : time : 41, Operation : insert_after, fitness : -1.0
ID#478 : time : 10, Operation : delete, fitness : -1.0
ID#479 : time : 7, Operation : delete, fitness : -1.0
ID#480 : time : 37, Operation : replace, fitness : -1.0
ID#481 : time : 38, Operation : insert_before, fitness : -1.0
ID#482 : time : 207, Operation : replace, fitness : -1.0
ID#483 : time : 182, Operation : delete, fitness : -1.0
ID#484 : time : 7, Operation : delete, fitness : -1.0
ID#485 : time : 229, Operation : replace, fitness : -1.0
ID#486 : time : 182, Operation : delete, fitness : -1.0
ID#487 : time : 363, Operation : delete, fitness : 0.92
ID#488 : time : 41, Operation : delete, fitness : -1.0
ID#489 : time : 48, Operation : replace, fitness : -1.0
ID#490 : time : 196, Operation : delete, fitness : -1.0
ID#491 : time : 179, Operation : insert_after, fitness : -1.0
ID#492 : time : 208, Operation : insert_before, fitness : -1.0
ID#493 : time : 16, Operation : insert_before, fitness : -1.0
ID#494 : time : 372, Operation : delete, fitness : 0.88
ID#495 : time : 48, Operation : replace, fitness : -1.0
ID#496 : time : 181, Operation : delete, fitness : -1.0
