### OUTPUT ###
ID#1 : time : 27465, Operation : delete, fitness : 0.64
ID#2 : time : 7, Operation : delete, fitness : -1.0
ID#3 : time : 150, Operation : replace, fitness : -1.0
ID#4 : time : 6, Operation : delete, fitness : -1.0
ID#5 : time : 0, Operation : insert_before, fitness : -1.0
ID#6 : time : 91, Operation : replace, fitness : -1.0
ID#7 : time : 257, Operation : delete, fitness : 0.88
ID#8 : time : 64, Operation : insert_before, fitness : -1.0
ID#9 : time : 64, Operation : replace, fitness : -1.0
ID#10 : time : 52, Operation : replace, fitness : -1.0
ID#11 : time : 5, Operation : delete, fitness : -1.0
ID#12 : time : 69, Operation : insert_before, fitness : -1.0
ID#13 : time : 48, Operation : insert_after, fitness : -1.0
ID#14 : time : 60, Operation : replace, fitness : -1.0
ID#15 : time : 85, Operation : insert_before, fitness : -1.0
ID#16 : time : 63, Operation : insert_before, fitness : -1.0
ID#17 : time : 229, Operation : delete, fitness : 0.92
ID#18 : time : 241, Operation : replace, fitness : 0.92
ID#19 : time : 43, Operation : replace, fitness : -1.0
ID#20 : time : 47, Operation : replace, fitness : -1.0
ID#21 : time : 4, Operation : delete, fitness : -1.0
ID#22 : time : 5, Operation : delete, fitness : -1.0
ID#23 : time : 46, Operation : insert_before, fitness : -1.0
ID#24 : time : 41, Operation : replace, fitness : -1.0
ID#25 : time : 36, Operation : insert_before, fitness : -1.0
ID#26 : time : 5, Operation : delete, fitness : -1.0
ID#27 : time : 178, Operation : replace, fitness : 0.84
ID#28 : time : 4, Operation : delete, fitness : -1.0
ID#29 : time : 43, Operation : replace, fitness : -1.0
ID#30 : time : 43, Operation : replace, fitness : -1.0
ID#31 : time : 47, Operation : replace, fitness : -1.0
ID#32 : time : 4, Operation : delete, fitness : -1.0
ID#33 : time : 230, Operation : delete, fitness : 0.8
ID#34 : time : 34, Operation : insert_after, fitness : -1.0
ID#35 : time : 38, Operation : insert_before, fitness : -1.0
ID#36 : time : 173, Operation : delete, fitness : 0.92
ID#37 : time : 41, Operation : insert_after, fitness : -1.0
ID#38 : time : 40, Operation : delete, fitness : -1.0
ID#39 : time : 45, Operation : replace, fitness : -1.0
ID#40 : time : 45, Operation : replace, fitness : -1.0
ID#41 : time : 6, Operation : delete, fitness : -1.0
ID#42 : time : 44, Operation : insert_after, fitness : -1.0
ID#43 : time : 7, Operation : delete, fitness : -1.0
ID#44 : time : 50, Operation : replace, fitness : -1.0
ID#45 : time : 47, Operation : insert_before, fitness : -1.0
ID#46 : time : 50, Operation : insert_after, fitness : -1.0
ID#47 : time : 36, Operation : delete, fitness : -1.0
ID#48 : time : 38, Operation : insert_after, fitness : -1.0
ID#49 : time : 21125, Operation : delete, fitness : 0.68
ID#50 : time : 0, Operation : insert_after, fitness : -1.0
ID#51 : time : 37, Operation : replace, fitness : -1.0
ID#52 : time : 124, Operation : replace, fitness : -1.0
ID#53 : time : 162, Operation : replace, fitness : 0.88
ID#54 : time : 36, Operation : insert_before, fitness : -1.0
ID#55 : time : 178, Operation : insert_after, fitness : 0.92
ID#56 : time : 41, Operation : replace, fitness : -1.0
ID#57 : time : 5, Operation : delete, fitness : -1.0
ID#58 : time : 4, Operation : delete, fitness : -1.0
ID#59 : time : 3, Operation : delete, fitness : -1.0
ID#60 : time : 163, Operation : delete, fitness : 0.88
ID#61 : time : 34, Operation : replace, fitness : -1.0
ID#62 : time : 32, Operation : insert_before, fitness : -1.0
ID#63 : time : 4, Operation : delete, fitness : -1.0
ID#64 : time : 164, Operation : delete, fitness : 0.92
ID#65 : time : 68, Operation : delete, fitness : -1.0
ID#66 : time : 0, Operation : insert_before, fitness : -1.0
ID#67 : time : 0, Operation : insert_after, fitness : -1.0
ID#68 : time : 36, Operation : replace, fitness : -1.0
ID#69 : time : 37, Operation : insert_after, fitness : -1.0
ID#70 : time : 103, Operation : delete, fitness : 0.76
ID#71 : time : 312, Operation : insert_before, fitness : -1.0
ID#72 : time : 4, Operation : delete, fitness : -1.0
ID#73 : time : 238, Operation : insert_after, fitness : -1.0
ID#74 : time : 355, Operation : delete, fitness : 0.88
ID#75 : time : 15367, Operation : delete, fitness : 0.76
ID#76 : time : 291, Operation : insert_before, fitness : -1.0
ID#77 : time : 246, Operation : insert_before, fitness : -1.0
ID#78 : time : 281, Operation : replace, fitness : -1.0
ID#79 : time : 33, Operation : replace, fitness : -1.0
ID#80 : time : 183, Operation : insert_before, fitness : -1.0
ID#81 : time : 214, Operation : replace, fitness : -1.0
ID#82 : time : 35, Operation : insert_after, fitness : -1.0
ID#83 : time : 276, Operation : delete, fitness : -1.0
ID#84 : time : 217, Operation : replace, fitness : -1.0
ID#85 : time : 282, Operation : insert_before, fitness : -1.0
ID#86 : time : 275, Operation : insert_before, fitness : -1.0
ID#87 : time : 264, Operation : insert_before, fitness : -1.0
ID#88 : time : 214, Operation : replace, fitness : -1.0
ID#89 : time : 208, Operation : insert_before, fitness : -1.0
ID#90 : time : 389, Operation : replace, fitness : 0.88
ID#91 : time : 288, Operation : replace, fitness : -1.0
ID#92 : time : 32, Operation : delete, fitness : -1.0
ID#93 : time : 4, Operation : delete, fitness : -1.0
ID#94 : time : 270, Operation : delete, fitness : -1.0
ID#95 : time : 186, Operation : delete, fitness : -1.0
ID#96 : time : 413, Operation : delete, fitness : 0.92
ID#97 : time : 264, Operation : replace, fitness : -1.0
ID#98 : time : 216, Operation : replace, fitness : -1.0
ID#99 : time : 339, Operation : replace, fitness : 0.88
ID#100 : time : 245, Operation : insert_before, fitness : -1.0
ID#101 : time : 338, Operation : delete, fitness : 0.88
ID#102 : time : 345, Operation : delete, fitness : 0.76
ID#103 : time : 216, Operation : delete, fitness : -1.0
ID#104 : time : 216, Operation : replace, fitness : -1.0
ID#105 : time : 18403, Operation : delete, fitness : 0.64
ID#106 : time : 282, Operation : insert_before, fitness : -1.0
ID#107 : time : 18369, Operation : delete, fitness : 0.64
