### OUTPUT ###
ID#1 : time : 27822, Operation : delete, fitness : 0.64
ID#2 : time : 15, Operation : delete, fitness : -1.0
ID#3 : time : 217, Operation : replace, fitness : -1.0
ID#4 : time : 9, Operation : delete, fitness : -1.0
ID#5 : time : 1, Operation : insert_before, fitness : -1.0
ID#6 : time : 116, Operation : replace, fitness : -1.0
ID#7 : time : 475, Operation : delete, fitness : 0.88
ID#8 : time : 117, Operation : insert_before, fitness : -1.0
ID#9 : time : 138, Operation : replace, fitness : -1.0
ID#10 : time : 120, Operation : replace, fitness : -1.0
ID#11 : time : 14, Operation : delete, fitness : -1.0
ID#12 : time : 155, Operation : insert_before, fitness : -1.0
ID#13 : time : 121, Operation : insert_after, fitness : -1.0
ID#14 : time : 118, Operation : replace, fitness : -1.0
ID#15 : time : 114, Operation : insert_before, fitness : -1.0
ID#16 : time : 98, Operation : insert_before, fitness : -1.0
ID#17 : time : 446, Operation : delete, fitness : 0.92
ID#18 : time : 349, Operation : replace, fitness : 0.92
ID#19 : time : 62, Operation : replace, fitness : -1.0
ID#20 : time : 64, Operation : replace, fitness : -1.0
ID#21 : time : 7, Operation : delete, fitness : -1.0
ID#22 : time : 10, Operation : delete, fitness : -1.0
ID#23 : time : 70, Operation : insert_before, fitness : -1.0
ID#24 : time : 66, Operation : replace, fitness : -1.0
ID#25 : time : 77, Operation : insert_before, fitness : -1.0
ID#26 : time : 6, Operation : delete, fitness : -1.0
ID#27 : time : 275, Operation : replace, fitness : 0.84
ID#28 : time : 7, Operation : delete, fitness : -1.0
ID#29 : time : 66, Operation : replace, fitness : -1.0
ID#30 : time : 81, Operation : replace, fitness : -1.0
ID#31 : time : 160, Operation : replace, fitness : -1.0
ID#32 : time : 8, Operation : delete, fitness : -1.0
ID#33 : time : 369, Operation : delete, fitness : 0.8
ID#34 : time : 70, Operation : insert_after, fitness : -1.0
ID#35 : time : 74, Operation : insert_before, fitness : -1.0
ID#36 : time : 267, Operation : delete, fitness : 0.92
ID#37 : time : 58, Operation : insert_after, fitness : -1.0
ID#38 : time : 57, Operation : delete, fitness : -1.0
ID#39 : time : 70, Operation : replace, fitness : -1.0
ID#40 : time : 65, Operation : replace, fitness : -1.0
ID#41 : time : 8, Operation : delete, fitness : -1.0
ID#42 : time : 73, Operation : insert_after, fitness : -1.0
ID#43 : time : 8, Operation : delete, fitness : -1.0
ID#44 : time : 64, Operation : replace, fitness : -1.0
ID#45 : time : 64, Operation : insert_before, fitness : -1.0
ID#46 : time : 67, Operation : insert_after, fitness : -1.0
ID#47 : time : 68, Operation : delete, fitness : -1.0
ID#48 : time : 73, Operation : insert_after, fitness : -1.0
ID#49 : time : 21265, Operation : delete, fitness : 0.68
ID#50 : time : 1, Operation : insert_after, fitness : -1.0
ID#51 : time : 45, Operation : replace, fitness : -1.0
ID#52 : time : 47, Operation : replace, fitness : -1.0
ID#53 : time : 248, Operation : replace, fitness : 0.88
ID#54 : time : 76, Operation : insert_before, fitness : -1.0
ID#55 : time : 237, Operation : insert_after, fitness : 0.92
ID#56 : time : 58, Operation : replace, fitness : -1.0
ID#57 : time : 6, Operation : delete, fitness : -1.0
ID#58 : time : 6, Operation : delete, fitness : -1.0
ID#59 : time : 5, Operation : delete, fitness : -1.0
ID#60 : time : 298, Operation : delete, fitness : 0.88
ID#61 : time : 67, Operation : replace, fitness : -1.0
ID#62 : time : 80, Operation : insert_before, fitness : -1.0
ID#63 : time : 10, Operation : delete, fitness : -1.0
ID#64 : time : 305, Operation : delete, fitness : 0.92
ID#65 : time : 52, Operation : delete, fitness : -1.0
ID#66 : time : 0, Operation : insert_before, fitness : -1.0
ID#67 : time : 0, Operation : insert_after, fitness : -1.0
ID#68 : time : 68, Operation : replace, fitness : -1.0
ID#69 : time : 60, Operation : insert_after, fitness : -1.0
ID#70 : time : 167, Operation : delete, fitness : 0.76
ID#71 : time : 443, Operation : insert_before, fitness : -1.0
ID#72 : time : 5, Operation : delete, fitness : -1.0
ID#73 : time : 459, Operation : insert_after, fitness : -1.0
ID#74 : time : 539, Operation : delete, fitness : 0.88
ID#75 : time : 15560, Operation : delete, fitness : 0.76
ID#76 : time : 406, Operation : insert_before, fitness : -1.0
ID#77 : time : 356, Operation : insert_before, fitness : -1.0
ID#78 : time : 405, Operation : replace, fitness : -1.0
ID#79 : time : 55, Operation : replace, fitness : -1.0
ID#80 : time : 247, Operation : insert_before, fitness : -1.0
ID#81 : time : 302, Operation : replace, fitness : -1.0
ID#82 : time : 69, Operation : insert_after, fitness : -1.0
ID#83 : time : 405, Operation : delete, fitness : -1.0
ID#84 : time : 324, Operation : replace, fitness : -1.0
ID#85 : time : 409, Operation : insert_before, fitness : -1.0
ID#86 : time : 396, Operation : insert_before, fitness : -1.0
ID#87 : time : 504, Operation : insert_before, fitness : -1.0
ID#88 : time : 304, Operation : replace, fitness : -1.0
ID#89 : time : 314, Operation : insert_before, fitness : -1.0
ID#90 : time : 610, Operation : replace, fitness : 0.88
ID#91 : time : 411, Operation : replace, fitness : -1.0
ID#92 : time : 58, Operation : delete, fitness : -1.0
ID#93 : time : 5, Operation : delete, fitness : -1.0
ID#94 : time : 511, Operation : delete, fitness : -1.0
ID#95 : time : 249, Operation : delete, fitness : -1.0
ID#96 : time : 616, Operation : delete, fitness : 0.92
ID#97 : time : 497, Operation : replace, fitness : -1.0
ID#98 : time : 308, Operation : replace, fitness : -1.0
ID#99 : time : 513, Operation : replace, fitness : 0.88
ID#100 : time : 355, Operation : insert_before, fitness : -1.0
ID#101 : time : 512, Operation : delete, fitness : 0.88
ID#102 : time : 595, Operation : delete, fitness : 0.76
ID#103 : time : 293, Operation : delete, fitness : -1.0
ID#104 : time : 292, Operation : replace, fitness : -1.0
ID#105 : time : 18588, Operation : delete, fitness : 0.64
ID#106 : time : 396, Operation : insert_before, fitness : -1.0
ID#107 : time : 18485, Operation : delete, fitness : 0.64
ID#108 : time : 276, Operation : delete, fitness : -1.0
ID#109 : time : 775, Operation : insert_before, fitness : 0.92
ID#110 : time : 51, Operation : replace, fitness : -1.0
ID#111 : time : 590, Operation : delete, fitness : 0.92
ID#112 : time : 498, Operation : insert_after, fitness : -1.0
ID#113 : time : 312, Operation : delete, fitness : -1.0
ID#114 : time : 658, Operation : delete, fitness : 0.8
ID#115 : time : 244, Operation : insert_after, fitness : -1.0
ID#116 : time : 461, Operation : delete, fitness : 0.92
ID#117 : time : 274, Operation : delete, fitness : -1.0
ID#118 : time : 498, Operation : replace, fitness : -1.0
ID#119 : time : 493, Operation : delete, fitness : 0.88
ID#120 : time : 452, Operation : insert_after, fitness : -1.0
ID#121 : time : 681, Operation : delete, fitness : 0.88
ID#122 : time : 411, Operation : replace, fitness : -1.0
ID#123 : time : 377, Operation : delete, fitness : -1.0
ID#124 : time : 514, Operation : insert_after, fitness : -1.0
ID#125 : time : 70, Operation : replace, fitness : -1.0
ID#126 : time : 7, Operation : delete, fitness : -1.0
ID#127 : time : 709, Operation : insert_before, fitness : 0.92
ID#128 : time : 515, Operation : replace, fitness : -1.0
ID#129 : time : 513, Operation : insert_after, fitness : -1.0
ID#130 : time : 248, Operation : delete, fitness : -1.0
ID#131 : time : 278, Operation : delete, fitness : -1.0
ID#132 : time : 279, Operation : delete, fitness : -1.0
ID#133 : time : 0, Operation : insert_before, fitness : -1.0
ID#134 : time : 515, Operation : delete, fitness : -1.0
ID#135 : time : 734, Operation : delete, fitness : 0.92
ID#136 : time : 248, Operation : delete, fitness : -1.0
ID#137 : time : 294, Operation : replace, fitness : -1.0
ID#138 : time : 595, Operation : delete, fitness : 0.88
ID#139 : time : 396, Operation : insert_after, fitness : -1.0
ID#140 : time : 286, Operation : replace, fitness : -1.0
ID#141 : time : 814, Operation : delete, fitness : -1.0
ID#142 : time : 787, Operation : replace, fitness : -1.0
ID#143 : time : 638, Operation : insert_after, fitness : -1.0
ID#144 : time : 841, Operation : insert_before, fitness : -1.0
ID#145 : time : 51, Operation : delete, fitness : -1.0
ID#146 : time : 792, Operation : replace, fitness : -1.0
ID#147 : time : 7, Operation : delete, fitness : -1.0
ID#148 : time : 628, Operation : delete, fitness : -1.0
ID#149 : time : 833, Operation : insert_after, fitness : -1.0
ID#150 : time : 790, Operation : insert_before, fitness : -1.0
ID#151 : time : 674, Operation : insert_before, fitness : -1.0
ID#152 : time : 52, Operation : replace, fitness : -1.0
ID#153 : time : 9, Operation : delete, fitness : -1.0
ID#154 : time : 966, Operation : delete, fitness : 0.92
ID#155 : time : 781, Operation : insert_after, fitness : -1.0
ID#156 : time : 870, Operation : replace, fitness : -1.0
ID#157 : time : 195, Operation : delete, fitness : 0.92
ID#158 : time : 21191, Operation : delete, fitness : 0.64
ID#159 : time : 217, Operation : delete, fitness : 0.8
ID#160 : time : 842, Operation : insert_after, fitness : -1.0
ID#161 : time : 822, Operation : insert_after, fitness : -1.0
ID#162 : time : 11, Operation : delete, fitness : -1.0
ID#163 : time : 65, Operation : insert_before, fitness : -1.0
ID#164 : time : 686, Operation : delete, fitness : -1.0
ID#165 : time : 792, Operation : delete, fitness : -1.0
ID#166 : time : 794, Operation : delete, fitness : -1.0
ID#167 : time : 57, Operation : insert_after, fitness : -1.0
ID#168 : time : 631, Operation : insert_before, fitness : -1.0
ID#169 : time : 630, Operation : insert_before, fitness : -1.0
ID#170 : time : 835, Operation : delete, fitness : -1.0
ID#171 : time : 673, Operation : delete, fitness : -1.0
ID#172 : time : 50, Operation : replace, fitness : -1.0
ID#173 : time : 795, Operation : insert_after, fitness : -1.0
ID#174 : time : 786, Operation : replace, fitness : -1.0
ID#175 : time : 46, Operation : replace, fitness : -1.0
ID#176 : time : 827, Operation : insert_after, fitness : -1.0
ID#177 : time : 672, Operation : insert_after, fitness : -1.0
ID#178 : time : 58, Operation : insert_before, fitness : -1.0
ID#179 : time : 51, Operation : replace, fitness : -1.0
ID#180 : time : 18764, Operation : delete, fitness : 0.64
ID#181 : time : 624, Operation : insert_after, fitness : -1.0
ID#182 : time : 64, Operation : insert_after, fitness : -1.0
ID#183 : time : 51, Operation : insert_before, fitness : -1.0
ID#184 : time : 671, Operation : insert_after, fitness : -1.0
ID#185 : time : 744, Operation : delete, fitness : -1.0
ID#186 : time : 217, Operation : delete, fitness : 0.92
ID#187 : time : 7, Operation : insert_before, fitness : -1.0
ID#188 : time : 7, Operation : insert_before, fitness : -1.0
ID#189 : time : 837, Operation : replace, fitness : -1.0
ID#190 : time : 828, Operation : replace, fitness : -1.0
ID#191 : time : 15782, Operation : delete, fitness : 0.76
ID#192 : time : 823, Operation : replace, fitness : -1.0
ID#193 : time : 785, Operation : insert_after, fitness : -1.0
ID#194 : time : 742, Operation : insert_after, fitness : -1.0
ID#195 : time : 839, Operation : delete, fitness : -1.0
ID#196 : time : 685, Operation : replace, fitness : -1.0
ID#197 : time : 61, Operation : replace, fitness : -1.0
ID#198 : time : 154, Operation : replace, fitness : -1.0
ID#199 : time : 52, Operation : delete, fitness : -1.0
ID#200 : time : 846, Operation : insert_after, fitness : -1.0
ID#201 : time : 807, Operation : replace, fitness : -1.0
ID#202 : time : 6, Operation : insert_after, fitness : -1.0
ID#203 : time : 259, Operation : replace, fitness : 0.88
ID#204 : time : 788, Operation : replace, fitness : -1.0
ID#205 : time : 854, Operation : delete, fitness : 0.92
ID#206 : time : 826, Operation : delete, fitness : -1.0
ID#207 : time : 51, Operation : replace, fitness : -1.0
ID#208 : time : 8, Operation : delete, fitness : -1.0
ID#209 : time : 49, Operation : delete, fitness : -1.0
ID#210 : time : 208, Operation : replace, fitness : 0.92
ID#211 : time : 1360, Operation : random-crossover, fitness : 0.92
ID#212 : time : 1518, Operation : random-crossover, fitness : -1.0
ID#213 : time : 1401, Operation : random-crossover, fitness : -1.0
ID#214 : time : 1368, Operation : random-crossover, fitness : -1.0
ID#215 : time : 1522, Operation : random-crossover, fitness : -1.0
ID#216 : time : 1362, Operation : random-crossover, fitness : 0.92
ID#217 : time : 1362, Operation : random-crossover, fitness : 0.92
ID#218 : time : 1403, Operation : random-crossover, fitness : 0.92
ID#219 : time : 1398, Operation : random-crossover, fitness : -1.0
ID#220 : time : 1516, Operation : random-crossover, fitness : -1.0
ID#221 : time : 1513, Operation : random-crossover, fitness : -1.0
ID#222 : time : 1402, Operation : random-crossover, fitness : -1.0
ID#223 : time : 1519, Operation : random-crossover, fitness : 0.92
ID#224 : time : 1402, Operation : random-crossover, fitness : -1.0
ID#225 : time : 1521, Operation : random-crossover, fitness : -1.0
ID#226 : time : 1359, Operation : random-crossover, fitness : -1.0
ID#227 : time : 1517, Operation : random-crossover, fitness : -1.0
ID#228 : time : 1362, Operation : random-crossover, fitness : -1.0
ID#229 : time : 1400, Operation : random-crossover, fitness : -1.0
ID#230 : time : 1517, Operation : random-crossover, fitness : -1.0
ID#231 : time : 1359, Operation : random-crossover, fitness : -1.0
ID#232 : time : 1358, Operation : random-crossover, fitness : -1.0
ID#233 : time : 1400, Operation : random-crossover, fitness : -1.0
ID#234 : time : 1360, Operation : random-crossover, fitness : -1.0
ID#235 : time : 1402, Operation : random-crossover, fitness : -1.0
ID#236 : time : 1360, Operation : random-crossover, fitness : -1.0
ID#237 : time : 1363, Operation : random-crossover, fitness : -1.0
ID#238 : time : 1518, Operation : random-crossover, fitness : -1.0
ID#239 : time : 1518, Operation : random-crossover, fitness : -1.0
ID#240 : time : 1516, Operation : random-crossover, fitness : -1.0
ID#241 : time : 269, Operation : delete, fitness : 0.88
ID#242 : time : 1425, Operation : replace, fitness : -1.0
ID#243 : time : 1374, Operation : delete, fitness : -1.0
ID#244 : time : 560, Operation : delete, fitness : 0.8
ID#245 : time : 22537, Operation : delete, fitness : 0.64
ID#246 : time : 1612, Operation : replace, fitness : 0.92
ID#247 : time : 1371, Operation : insert_before, fitness : -1.0
ID#248 : time : 1443, Operation : insert_after, fitness : -1.0
ID#249 : time : 223, Operation : insert_before, fitness : -1.0
ID#250 : time : 1487, Operation : insert_before, fitness : -1.0
ID#251 : time : 276, Operation : insert_after, fitness : -1.0
ID#252 : time : 1467, Operation : replace, fitness : -1.0
ID#253 : time : 15, Operation : delete, fitness : -1.0
ID#254 : time : 15394, Operation : delete, fitness : 0.76
ID#255 : time : 1410, Operation : insert_after, fitness : -1.0
ID#256 : time : 264, Operation : delete, fitness : -1.0
ID#257 : time : 1456, Operation : insert_after, fitness : -1.0
ID#258 : time : 48, Operation : insert_after, fitness : -1.0
ID#259 : time : 4, Operation : insert_after, fitness : -1.0
ID#260 : time : 1413, Operation : insert_before, fitness : -1.0
ID#261 : time : 265, Operation : insert_after, fitness : -1.0
ID#262 : time : 1415, Operation : delete, fitness : -1.0
ID#263 : time : 43, Operation : replace, fitness : -1.0
ID#264 : time : 48, Operation : replace, fitness : -1.0
ID#265 : time : 46, Operation : replace, fitness : -1.0
ID#266 : time : 45, Operation : replace, fitness : -1.0
ID#267 : time : 1457, Operation : delete, fitness : -1.0
ID#268 : time : 1371, Operation : insert_after, fitness : -1.0
ID#269 : time : 10, Operation : delete, fitness : -1.0
ID#270 : time : 50, Operation : replace, fitness : -1.0
ID#271 : time : 1408, Operation : insert_before, fitness : -1.0
ID#272 : time : 265, Operation : delete, fitness : -1.0
ID#273 : time : 7, Operation : insert_after, fitness : -1.0
ID#274 : time : 21345, Operation : delete, fitness : 0.64
ID#275 : time : 1451, Operation : delete, fitness : -1.0
ID#276 : time : 7, Operation : delete, fitness : -1.0
ID#277 : time : 61, Operation : insert_before, fitness : -1.0
ID#278 : time : 260, Operation : replace, fitness : -1.0
ID#279 : time : 1375, Operation : replace, fitness : -1.0
ID#280 : time : 6, Operation : insert_before, fitness : -1.0
ID#281 : time : 1410, Operation : replace, fitness : -1.0
ID#282 : time : 1412, Operation : delete, fitness : -1.0
ID#283 : time : 52, Operation : replace, fitness : -1.0
ID#284 : time : 11, Operation : delete, fitness : -1.0
ID#285 : time : 8, Operation : insert_after, fitness : -1.0
ID#286 : time : 266, Operation : delete, fitness : -1.0
ID#287 : time : 1462, Operation : insert_after, fitness : -1.0
ID#288 : time : 48, Operation : delete, fitness : -1.0
ID#289 : time : 55, Operation : replace, fitness : -1.0
ID#290 : time : 1467, Operation : replace, fitness : -1.0
ID#291 : time : 11, Operation : delete, fitness : -1.0
ID#292 : time : 258, Operation : insert_after, fitness : -1.0
ID#293 : time : 285, Operation : delete, fitness : -1.0
ID#294 : time : 5, Operation : insert_before, fitness : -1.0
ID#295 : time : 430, Operation : delete, fitness : 0.88
ID#296 : time : 45, Operation : replace, fitness : -1.0
ID#297 : time : 217, Operation : insert_before, fitness : -1.0
ID#298 : time : 1419, Operation : delete, fitness : -1.0
ID#299 : time : 264, Operation : replace, fitness : -1.0
ID#300 : time : 7, Operation : delete, fitness : -1.0
ID#301 : time : 1416, Operation : replace, fitness : -1.0
ID#302 : time : 221, Operation : delete, fitness : -1.0
ID#303 : time : 175, Operation : insert_after, fitness : -1.0
ID#304 : time : 68, Operation : replace, fitness : -1.0
ID#305 : time : 74, Operation : replace, fitness : -1.0
ID#306 : time : 73, Operation : insert_after, fitness : -1.0
ID#307 : time : 1374, Operation : insert_before, fitness : -1.0
ID#308 : time : 1470, Operation : replace, fitness : -1.0
ID#309 : time : 1380, Operation : delete, fitness : -1.0
ID#310 : time : 16513, Operation : delete, fitness : 0.76
ID#311 : time : 1369, Operation : random-crossover, fitness : -1.0
ID#312 : time : 1576, Operation : random-crossover, fitness : 0.88
ID#313 : time : 1621, Operation : random-crossover, fitness : -1.0
ID#314 : time : 219, Operation : random-crossover, fitness : 0.88
ID#315 : time : 1579, Operation : random-crossover, fitness : -1.0
ID#316 : time : 1581, Operation : random-crossover, fitness : -1.0
ID#317 : time : 1620, Operation : random-crossover, fitness : 0.88
ID#318 : time : 218, Operation : random-crossover, fitness : 0.88
ID#319 : time : 1623, Operation : random-crossover, fitness : -1.0
ID#320 : time : 1413, Operation : random-crossover, fitness : -1.0
ID#321 : time : 1585, Operation : random-crossover, fitness : -1.0
ID#322 : time : 1623, Operation : random-crossover, fitness : -1.0
ID#323 : time : 1371, Operation : random-crossover, fitness : -1.0
ID#324 : time : 2777, Operation : random-crossover, fitness : -1.0
ID#325 : time : 1376, Operation : random-crossover, fitness : -1.0
ID#326 : time : 1625, Operation : random-crossover, fitness : -1.0
ID#327 : time : 1374, Operation : random-crossover, fitness : -1.0
ID#328 : time : 1373, Operation : random-crossover, fitness : -1.0
ID#329 : time : 1415, Operation : random-crossover, fitness : -1.0
ID#330 : time : 1583, Operation : random-crossover, fitness : -1.0
ID#331 : time : 1623, Operation : random-crossover, fitness : -1.0
ID#332 : time : 1380, Operation : random-crossover, fitness : -1.0
ID#333 : time : 1582, Operation : random-crossover, fitness : -1.0
ID#334 : time : 219, Operation : random-crossover, fitness : -1.0
ID#335 : time : 1582, Operation : random-crossover, fitness : -1.0
ID#336 : time : 1622, Operation : random-crossover, fitness : -1.0
ID#337 : time : 219, Operation : random-crossover, fitness : -1.0
ID#338 : time : 1627, Operation : random-crossover, fitness : -1.0
ID#339 : time : 219, Operation : random-crossover, fitness : -1.0
ID#340 : time : 1618, Operation : random-crossover, fitness : -1.0
ID#341 : time : 18, Operation : delete, fitness : -1.0
ID#342 : time : 46, Operation : delete, fitness : -1.0
ID#343 : time : 212, Operation : delete, fitness : 0.92
ID#344 : time : 11, Operation : insert_after, fitness : -1.0
ID#345 : time : 11, Operation : delete, fitness : -1.0
ID#346 : time : 61, Operation : insert_after, fitness : -1.0
ID#347 : time : 44, Operation : delete, fitness : -1.0
ID#348 : time : 11, Operation : delete, fitness : -1.0
ID#349 : time : 54, Operation : replace, fitness : -1.0
ID#350 : time : 222, Operation : delete, fitness : 0.88
ID#351 : time : 55, Operation : insert_before, fitness : -1.0
ID#352 : time : 9, Operation : insert_after, fitness : -1.0
ID#353 : time : 53, Operation : replace, fitness : -1.0
ID#354 : time : 27152, Operation : delete, fitness : 0.64
ID#355 : time : 48, Operation : insert_after, fitness : -1.0
ID#356 : time : 48, Operation : insert_after, fitness : -1.0
ID#357 : time : 45, Operation : insert_after, fitness : -1.0
ID#358 : time : 265, Operation : delete, fitness : 0.92
ID#359 : time : 346, Operation : insert_before, fitness : 0.92
ID#360 : time : 51, Operation : insert_after, fitness : -1.0
ID#361 : time : 47, Operation : replace, fitness : -1.0
ID#362 : time : 10, Operation : delete, fitness : -1.0
ID#363 : time : 49, Operation : insert_after, fitness : -1.0
ID#364 : time : 54, Operation : insert_after, fitness : -1.0
ID#365 : time : 56, Operation : insert_after, fitness : -1.0
ID#366 : time : 46, Operation : replace, fitness : -1.0
ID#367 : time : 11, Operation : delete, fitness : -1.0
ID#368 : time : 190, Operation : delete, fitness : 0.92
ID#369 : time : 8, Operation : insert_before, fitness : -1.0
ID#370 : time : 12, Operation : replace, fitness : -1.0
ID#371 : time : 40, Operation : delete, fitness : -1.0
ID#372 : time : 55, Operation : delete, fitness : -1.0
ID#373 : time : 8, Operation : insert_before, fitness : -1.0
ID#374 : time : 51, Operation : insert_before, fitness : -1.0
ID#375 : time : 56, Operation : insert_before, fitness : -1.0
ID#376 : time : 50, Operation : delete, fitness : -1.0
ID#377 : time : 5, Operation : insert_after, fitness : -1.0
ID#378 : time : 59, Operation : replace, fitness : -1.0
ID#379 : time : 171, Operation : replace, fitness : 0.64
ID#380 : time : 60, Operation : insert_after, fitness : -1.0
ID#381 : time : 18159, Operation : delete, fitness : 0.64
ID#382 : time : 47, Operation : replace, fitness : -1.0
ID#383 : time : 47, Operation : delete, fitness : -1.0
ID#384 : time : 10, Operation : insert_after, fitness : -1.0
ID#385 : time : 46, Operation : replace, fitness : -1.0
ID#386 : time : 250, Operation : delete, fitness : 0.92
ID#387 : time : 27179, Operation : delete, fitness : 0.64
ID#388 : time : 215, Operation : delete, fitness : 0.8
ID#389 : time : 54, Operation : replace, fitness : -1.0
ID#390 : time : 11, Operation : delete, fitness : -1.0
ID#391 : time : 216, Operation : delete, fitness : 0.8
ID#392 : time : 13, Operation : delete, fitness : -1.0
ID#393 : time : 52, Operation : insert_before, fitness : -1.0
ID#394 : time : 91, Operation : delete, fitness : -1.0
ID#395 : time : 27, Operation : delete, fitness : -1.0
ID#396 : time : 73, Operation : replace, fitness : -1.0
ID#397 : time : 102, Operation : replace, fitness : -1.0
ID#398 : time : 17, Operation : insert_before, fitness : -1.0
ID#399 : time : 97, Operation : insert_after, fitness : -1.0
ID#400 : time : 83, Operation : replace, fitness : -1.0
ID#401 : time : 27201, Operation : delete, fitness : 0.64
ID#402 : time : 9, Operation : insert_before, fitness : -1.0
ID#403 : time : 52, Operation : replace, fitness : -1.0
ID#404 : time : 11, Operation : delete, fitness : -1.0
ID#405 : time : 12, Operation : delete, fitness : -1.0
ID#406 : time : 44, Operation : replace, fitness : -1.0
ID#407 : time : 5, Operation : insert_before, fitness : -1.0
ID#408 : time : 47, Operation : insert_after, fitness : -1.0
ID#409 : time : 42, Operation : replace, fitness : -1.0
ID#410 : time : 3158, Operation : insert_after, fitness : 0.84
ID#411 : time : 8, Operation : random-crossover, fitness : 0.8
ID#412 : time : 10, Operation : random-crossover, fitness : -1.0
ID#413 : time : 10, Operation : random-crossover, fitness : -1.0
ID#414 : time : 9, Operation : random-crossover, fitness : -1.0
ID#415 : time : 9, Operation : random-crossover, fitness : -1.0
ID#416 : time : 11, Operation : random-crossover, fitness : -1.0
ID#417 : time : 11, Operation : random-crossover, fitness : -1.0
ID#418 : time : 10, Operation : random-crossover, fitness : -1.0
ID#419 : time : 10, Operation : random-crossover, fitness : -1.0
ID#420 : time : 8, Operation : random-crossover, fitness : -1.0
ID#421 : time : 9, Operation : random-crossover, fitness : -1.0
ID#422 : time : 7, Operation : random-crossover, fitness : -1.0
ID#423 : time : 7, Operation : random-crossover, fitness : -1.0
ID#424 : time : 8, Operation : random-crossover, fitness : -1.0
ID#425 : time : 8, Operation : random-crossover, fitness : -1.0
ID#426 : time : 7, Operation : random-crossover, fitness : -1.0
